"time_steps","fancy-sweep-9 - _step","fancy-sweep-9 - _step__MIN","fancy-sweep-9 - _step__MAX","fancy-sweep-9 - agent_avg_eval_r_mean","fancy-sweep-9 - agent_avg_eval_r_mean__MIN","fancy-sweep-9 - agent_avg_eval_r_mean__MAX","fragrant-sweep-8 - _step","fragrant-sweep-8 - _step__MIN","fragrant-sweep-8 - _step__MAX","fragrant-sweep-8 - agent_avg_eval_r_mean","fragrant-sweep-8 - agent_avg_eval_r_mean__MIN","fragrant-sweep-8 - agent_avg_eval_r_mean__MAX","deft-sweep-7 - _step","deft-sweep-7 - _step__MIN","deft-sweep-7 - _step__MAX","deft-sweep-7 - agent_avg_eval_r_mean","deft-sweep-7 - agent_avg_eval_r_mean__MIN","deft-sweep-7 - agent_avg_eval_r_mean__MAX","treasured-sweep-6 - _step","treasured-sweep-6 - _step__MIN","treasured-sweep-6 - _step__MAX","treasured-sweep-6 - agent_avg_eval_r_mean","treasured-sweep-6 - agent_avg_eval_r_mean__MIN","treasured-sweep-6 - agent_avg_eval_r_mean__MAX","pleasant-sweep-5 - _step","pleasant-sweep-5 - _step__MIN","pleasant-sweep-5 - _step__MAX","pleasant-sweep-5 - agent_avg_eval_r_mean","pleasant-sweep-5 - agent_avg_eval_r_mean__MIN","pleasant-sweep-5 - agent_avg_eval_r_mean__MAX","scarlet-sweep-4 - _step","scarlet-sweep-4 - _step__MIN","scarlet-sweep-4 - _step__MAX","scarlet-sweep-4 - agent_avg_eval_r_mean","scarlet-sweep-4 - agent_avg_eval_r_mean__MIN","scarlet-sweep-4 - agent_avg_eval_r_mean__MAX","serene-sweep-2 - _step","serene-sweep-2 - _step__MIN","serene-sweep-2 - _step__MAX","serene-sweep-2 - agent_avg_eval_r_mean","serene-sweep-2 - agent_avg_eval_r_mean__MIN","serene-sweep-2 - agent_avg_eval_r_mean__MAX","zesty-sweep-3 - _step","zesty-sweep-3 - _step__MIN","zesty-sweep-3 - _step__MAX","zesty-sweep-3 - agent_avg_eval_r_mean","zesty-sweep-3 - agent_avg_eval_r_mean__MIN","zesty-sweep-3 - agent_avg_eval_r_mean__MAX","gentle-sweep-1 - _step","gentle-sweep-1 - _step__MIN","gentle-sweep-1 - _step__MAX","gentle-sweep-1 - agent_avg_eval_r_mean","gentle-sweep-1 - agent_avg_eval_r_mean__MIN","gentle-sweep-1 - agent_avg_eval_r_mean__MAX","helpful-sweep-3 - _step","helpful-sweep-3 - _step__MIN","helpful-sweep-3 - _step__MAX","helpful-sweep-3 - agent_avg_eval_r_mean","helpful-sweep-3 - agent_avg_eval_r_mean__MIN","helpful-sweep-3 - agent_avg_eval_r_mean__MAX"
"100300","59","59","59","40.17427994210082","40.17427994210082","40.17427994210082","59","59","59","40.610172235353126","40.610172235353126","40.610172235353126","59","59","59","40.7391942753437","40.7391942753437","40.7391942753437","59","59","59","39.8403022364484","39.8403022364484","39.8403022364484","59","59","59","36.67382243215101","36.67382243215101","36.67382243215101","59","59","59","39.88377322780029","39.88377322780029","39.88377322780029","59","59","59","37.718352576116196","37.718352576116196","37.718352576116196","59","59","59","39.748426328393826","39.748426328393826","39.748426328393826","59","59","59","37.877251096257964","37.877251096257964","37.877251096257964","59","59","59","38.38243417405241","38.38243417405241","38.38243417405241"
"102000","60","60","60","40.89537169819465","40.89537169819465","40.89537169819465","60","60","60","41.148832045481825","41.148832045481825","41.148832045481825","60","60","60","41.19762566872351","41.19762566872351","41.19762566872351","60","60","60","39.728683867663555","39.728683867663555","39.728683867663555","60","60","60","37.43170301878688","37.43170301878688","37.43170301878688","60","60","60","39.72201700330002","39.72201700330002","39.72201700330002","60","60","60","38.2419113885769","38.2419113885769","38.2419113885769","60","60","60","40.46209049812989","40.46209049812989","40.46209049812989","60","60","60","39.11465599783912","39.11465599783912","39.11465599783912","60","60","60","38.948828755252016","38.948828755252016","38.948828755252016"
"103700","61","61","61","42.496675306871495","42.496675306871495","42.496675306871495","61","61","61","41.81663373128483","41.81663373128483","41.81663373128483","61","61","61","42.2572806496588","42.2572806496588","42.2572806496588","61","61","61","40.48891708270971","40.48891708270971","40.48891708270971","61","61","61","38.25414020710739","38.25414020710739","38.25414020710739","61","61","61","39.53592940796335","39.53592940796335","39.53592940796335","61","61","61","37.91074566325761","37.91074566325761","37.91074566325761","61","61","61","40.896350570540235","40.896350570540235","40.896350570540235","61","61","61","39.704241295641175","39.704241295641175","39.704241295641175","61","61","61","39.957165136588536","39.957165136588536","39.957165136588536"
"105400","62","62","62","43.32702162045414","43.32702162045414","43.32702162045414","62","62","62","41.52692004448778","41.52692004448778","41.52692004448778","62","62","62","43.13591570259971","43.13591570259971","43.13591570259971","62","62","62","40.97601578180518","40.97601578180518","40.97601578180518","62","62","62","38.196371217545746","38.196371217545746","38.196371217545746","62","62","62","40.08248396627929","40.08248396627929","40.08248396627929","62","62","62","37.99896409172487","37.99896409172487","37.99896409172487","62","62","62","41.082164438261614","41.082164438261614","41.082164438261614","62","62","62","40.68787605009683","40.68787605009683","40.68787605009683","62","62","62","40.12804994597885","40.12804994597885","40.12804994597885"
"107100","63","63","63","43.52593109228147","43.52593109228147","43.52593109228147","63","63","63","42.13389171096647","42.13389171096647","42.13389171096647","63","63","63","43.158711827589734","43.158711827589734","43.158711827589734","63","63","63","41.466000758766874","41.466000758766874","41.466000758766874","63","63","63","39.09052420489374","39.09052420489374","39.09052420489374","63","63","63","40.710781734498205","40.710781734498205","40.710781734498205","63","63","63","39.09784854215764","39.09784854215764","39.09784854215764","63","63","63","41.37382511567649","41.37382511567649","41.37382511567649","63","63","63","41.26188384887018","41.26188384887018","41.26188384887018","63","63","63","40.32844352809936","40.32844352809936","40.32844352809936"
"108800","64","64","64","44.12363594670658","44.12363594670658","44.12363594670658","64","64","64","43.08126873543041","43.08126873543041","43.08126873543041","64","64","64","43.400286130428114","43.400286130428114","43.400286130428114","64","64","64","41.6111713807597","41.6111713807597","41.6111713807597","64","64","64","40.01227321742576","40.01227321742576","40.01227321742576","64","64","64","41.19993915849048","41.19993915849048","41.19993915849048","64","64","64","40.52162888565213","40.52162888565213","40.52162888565213","64","64","64","42.080510782718775","42.080510782718775","42.080510782718775","64","64","64","41.88817300221364","41.88817300221364","41.88817300221364","64","64","64","39.96871844639724","39.96871844639724","39.96871844639724"
"110500","65","65","65","44.54134305888721","44.54134305888721","44.54134305888721","65","65","65","43.538016967188625","43.538016967188625","43.538016967188625","65","65","65","44.42694255851503","44.42694255851503","44.42694255851503","65","65","65","41.202215061556636","41.202215061556636","41.202215061556636","65","65","65","40.87684299606925","40.87684299606925","40.87684299606925","65","65","65","41.783682472792634","41.783682472792634","41.783682472792634","65","65","65","41.05383673546998","41.05383673546998","41.05383673546998","65","65","65","41.4197072435193","41.4197072435193","41.4197072435193","65","65","65","42.60709707999012","42.60709707999012","42.60709707999012","65","65","65","39.70789041528874","39.70789041528874","39.70789041528874"
"112200","66","66","66","45.05819451993536","45.05819451993536","45.05819451993536","66","66","66","43.257280413435076","43.257280413435076","43.257280413435076","66","66","66","44.65716497042214","44.65716497042214","44.65716497042214","66","66","66","41.7392634383487","41.7392634383487","41.7392634383487","66","66","66","41.147474166477366","41.147474166477366","41.147474166477366","66","66","66","42.73083500841424","42.73083500841424","42.73083500841424","66","66","66","40.2637078791726","40.2637078791726","40.2637078791726","66","66","66","41.34734124573852","41.34734124573852","41.34734124573852","66","66","66","42.54954882162682","42.54954882162682","42.54954882162682","66","66","66","40.17373523170299","40.17373523170299","40.17373523170299"
"113900","67","67","67","45.29747199091156","45.29747199091156","45.29747199091156","67","67","67","42.64647888323029","42.64647888323029","42.64647888323029","67","67","67","45.09963178669805","45.09963178669805","45.09963178669805","67","67","67","41.10116016676781","41.10116016676781","41.10116016676781","67","67","67","41.13450771397862","41.13450771397862","41.13450771397862","67","67","67","44.029460678656854","44.029460678656854","44.029460678656854","67","67","67","41.27382759994153","41.27382759994153","41.27382759994153","67","67","67","42.31462182284892","42.31462182284892","42.31462182284892","67","67","67","43.10263979841104","43.10263979841104","43.10263979841104","67","67","67","40.38183517273685","40.38183517273685","40.38183517273685"
"115600","68","68","68","45.29179763010312","45.29179763010312","45.29179763010312","68","68","68","43.14120702351007","43.14120702351007","43.14120702351007","68","68","68","45.61836735894203","45.61836735894203","45.61836735894203","68","68","68","41.532052857811124","41.532052857811124","41.532052857811124","68","68","68","42.52820408437282","42.52820408437282","42.52820408437282","68","68","68","44.0759438122398","44.0759438122398","44.0759438122398","68","68","68","41.94562616762808","41.94562616762808","41.94562616762808","68","68","68","42.72638808931387","42.72638808931387","42.72638808931387","68","68","68","43.86829210530951","43.86829210530951","43.86829210530951","68","68","68","39.93736994639444","39.93736994639444","39.93736994639444"
"117300","69","69","69","44.974633030835975","44.974633030835975","44.974633030835975","69","69","69","42.90778385582251","42.90778385582251","42.90778385582251","69","69","69","46.330434812544574","46.330434812544574","46.330434812544574","69","69","69","42.47118713868447","42.47118713868447","42.47118713868447","69","69","69","42.72729760611538","42.72729760611538","42.72729760611538","69","69","69","44.81825523128084","44.81825523128084","44.81825523128084","69","69","69","42.632068956467535","42.632068956467535","42.632068956467535","69","69","69","43.38388775456275","43.38388775456275","43.38388775456275","69","69","69","44.9546889299275","44.9546889299275","44.9546889299275","69","69","69","41.077422339155106","41.077422339155106","41.077422339155106"
"119000","70","70","70","45.17143081162662","45.17143081162662","45.17143081162662","70","70","70","42.32512465629537","42.32512465629537","42.32512465629537","70","70","70","45.558033412331106","45.558033412331106","45.558033412331106","70","70","70","42.58485461983404","42.58485461983404","42.58485461983404","70","70","70","42.69137120520972","42.69137120520972","42.69137120520972","70","70","70","44.93341983044063","44.93341983044063","44.93341983044063","70","70","70","42.7128530251831","42.7128530251831","42.7128530251831","70","70","70","44.28816933009424","44.28816933009424","44.28816933009424","70","70","70","45.09279857893725","45.09279857893725","45.09279857893725","70","70","70","41.12666575273747","41.12666575273747","41.12666575273747"
"120700","71","71","71","44.7520787114631","44.7520787114631","44.7520787114631","71","71","71","41.80504704638702","41.80504704638702","41.80504704638702","71","71","71","45.5801237137603","45.5801237137603","45.5801237137603","71","71","71","42.84782590679008","42.84782590679008","42.84782590679008","71","71","71","42.908215710671","42.908215710671","42.908215710671","71","71","71","45.95118242145399","45.95118242145399","45.95118242145399","71","71","71","43.39629137432351","43.39629137432351","43.39629137432351","71","71","71","43.28291912174384","43.28291912174384","43.28291912174384","71","71","71","45.35182865733445","45.35182865733445","45.35182865733445","71","71","71","41.852981926726876","41.852981926726876","41.852981926726876"
"122400","72","72","72","44.59070460863946","44.59070460863946","44.59070460863946","72","72","72","42.04498758682402","42.04498758682402","42.04498758682402","72","72","72","44.91657579526071","44.91657579526071","44.91657579526071","72","72","72","44.31481055315457","44.31481055315457","44.31481055315457","72","72","72","42.91087526552008","42.91087526552008","42.91087526552008","72","72","72","46.350796093526114","46.350796093526114","46.350796093526114","72","72","72","44.17716606438317","44.17716606438317","44.17716606438317","72","72","72","43.4960685356503","43.4960685356503","43.4960685356503","72","72","72","46.09578630762492","46.09578630762492","46.09578630762492","72","72","72","42.043839679850706","42.043839679850706","42.043839679850706"
"124100","73","73","73","45.23826664396186","45.23826664396186","45.23826664396186","73","73","73","43.107005384331806","43.107005384331806","43.107005384331806","73","73","73","45.16780030543146","45.16780030543146","45.16780030543146","73","73","73","44.02676827434821","44.02676827434821","44.02676827434821","73","73","73","43.17752138539961","43.17752138539961","43.17752138539961","73","73","73","45.84945026384424","45.84945026384424","45.84945026384424","73","73","73","44.17998803227982","44.17998803227982","44.17998803227982","73","73","73","44.29284463597264","44.29284463597264","44.29284463597264","73","73","73","46.728953300985005","46.728953300985005","46.728953300985005","73","73","73","42.72258295555668","42.72258295555668","42.72258295555668"
"125800","74","74","74","45.60296875409413","45.60296875409413","45.60296875409413","74","74","74","42.6574579585582","42.6574579585582","42.6574579585582","74","74","74","44.502674690687115","44.502674690687115","44.502674690687115","74","74","74","44.02337260723576","44.02337260723576","44.02337260723576","74","74","74","43.80639466916309","43.80639466916309","43.80639466916309","74","74","74","46.517913363106615","46.517913363106615","46.517913363106615","74","74","74","44.21236995163135","44.21236995163135","44.21236995163135","74","74","74","44.12235683489536","44.12235683489536","44.12235683489536","74","74","74","46.774783891709625","46.774783891709625","46.774783891709625","74","74","74","42.63943404422479","42.63943404422479","42.63943404422479"
"127500","75","75","75","46.050784203057646","46.050784203057646","46.050784203057646","75","75","75","42.90688065508053","42.90688065508053","42.90688065508053","75","75","75","45.231624725927304","45.231624725927304","45.231624725927304","75","75","75","43.95166667078307","43.95166667078307","43.95166667078307","75","75","75","44.48687125571441","44.48687125571441","44.48687125571441","75","75","75","46.8888081798174","46.8888081798174","46.8888081798174","75","75","75","44.47758850093178","44.47758850093178","44.47758850093178","75","75","75","45.110976568760144","45.110976568760144","45.110976568760144","75","75","75","47.42814172148026","47.42814172148026","47.42814172148026","75","75","75","43.30834330162303","43.30834330162303","43.30834330162303"
"129200","76","76","76","46.04312378222914","46.04312378222914","46.04312378222914","76","76","76","43.15398802612642","43.15398802612642","43.15398802612642","76","76","76","44.94936947630886","44.94936947630886","44.94936947630886","76","76","76","43.87358702640696","43.87358702640696","43.87358702640696","76","76","76","44.41630168633139","44.41630168633139","44.41630168633139","76","76","76","47.72965250673012","47.72965250673012","47.72965250673012","76","76","76","44.6038269669976","44.6038269669976","44.6038269669976","76","76","76","45.423280659418126","45.423280659418126","45.423280659418126","76","76","76","47.60398923900729","47.60398923900729","47.60398923900729","76","76","76","43.10255088246127","43.10255088246127","43.10255088246127"
"130900","77","77","77","46.23840760074549","46.23840760074549","46.23840760074549","77","77","77","43.953683017912915","43.953683017912915","43.953683017912915","77","77","77","44.745296975075775","44.745296975075775","44.745296975075775","77","77","77","44.092155116848815","44.092155116848815","44.092155116848815","77","77","77","43.67656552783158","43.67656552783158","43.67656552783158","77","77","77","47.99290168536485","47.99290168536485","47.99290168536485","77","77","77","44.82535819940288","44.82535819940288","44.82535819940288","77","77","77","45.762768493738555","45.762768493738555","45.762768493738555","77","77","77","48.1282641216065","48.1282641216065","48.1282641216065","77","77","77","42.94649650423295","42.94649650423295","42.94649650423295"
"132600","78","78","78","46.37402188940145","46.37402188940145","46.37402188940145","78","78","78","43.99347772459276","43.99347772459276","43.99347772459276","78","78","78","44.74189200413417","44.74189200413417","44.74189200413417","78","78","78","44.53079676595502","44.53079676595502","44.53079676595502","78","78","78","43.8379831733659","43.8379831733659","43.8379831733659","78","78","78","48.53235816812778","48.53235816812778","48.53235816812778","78","78","78","45.58970826999912","45.58970826999912","45.58970826999912","78","78","78","46.23713933082919","46.23713933082919","46.23713933082919","78","78","78","48.3841580004143","48.3841580004143","48.3841580004143","78","78","78","42.81955684825002","42.81955684825002","42.81955684825002"
"134300","79","79","79","46.21673254290258","46.21673254290258","46.21673254290258","79","79","79","44.25847690699047","44.25847690699047","44.25847690699047","79","79","79","45.24258494564158","45.24258494564158","45.24258494564158","79","79","79","44.825171289901576","44.825171289901576","44.825171289901576","79","79","79","44.641132993835875","44.641132993835875","44.641132993835875","79","79","79","47.715884871143324","47.715884871143324","47.715884871143324","79","79","79","45.332906033729756","45.332906033729756","45.332906033729756","79","79","79","46.122794148900766","46.122794148900766","46.122794148900766","79","79","79","48.505050267385926","48.505050267385926","48.505050267385926","79","79","79","43.24661121882959","43.24661121882959","43.24661121882959"
"136000","80","80","80","46.06036147677998","46.06036147677998","46.06036147677998","80","80","80","44.31666017363007","44.31666017363007","44.31666017363007","80","80","80","45.37298235507105","45.37298235507105","45.37298235507105","80","80","80","44.74652928280706","44.74652928280706","44.74652928280706","80","80","80","44.2943779200094","44.2943779200094","44.2943779200094","80","80","80","48.33314445916344","48.33314445916344","48.33314445916344","80","80","80","45.38047597942673","45.38047597942673","45.38047597942673","80","80","80","46.439167977793424","46.439167977793424","46.439167977793424","80","80","80","49.046474020519774","49.046474020519774","49.046474020519774","80","80","80","43.53825926848565","43.53825926848565","43.53825926848565"
"137700","81","81","81","45.480691400260774","45.480691400260774","45.480691400260774","81","81","81","44.6775596512456","44.6775596512456","44.6775596512456","81","81","81","45.755925007864995","45.755925007864995","45.755925007864995","81","81","81","45.189772639144046","45.189772639144046","45.189772639144046","81","81","81","44.986033526063984","44.986033526063984","44.986033526063984","81","81","81","48.652133207949255","48.652133207949255","48.652133207949255","81","81","81","45.48047054104294","45.48047054104294","45.48047054104294","81","81","81","46.54239019147949","46.54239019147949","46.54239019147949","81","81","81","49.27517881090222","49.27517881090222","49.27517881090222","81","81","81","42.06943321615966","42.06943321615966","42.06943321615966"
"139400","82","82","82","45.33359551321226","45.33359551321226","45.33359551321226","82","82","82","45.00923194757804","45.00923194757804","45.00923194757804","82","82","82","46.19364507324836","46.19364507324836","46.19364507324836","82","82","82","45.40744799438218","45.40744799438218","45.40744799438218","82","82","82","45.62227250940831","45.62227250940831","45.62227250940831","82","82","82","49.29924642589926","49.29924642589926","49.29924642589926","82","82","82","46.02760155308287","46.02760155308287","46.02760155308287","82","82","82","46.84210669176339","46.84210669176339","46.84210669176339","82","82","82","49.20559989307926","49.20559989307926","49.20559989307926","82","82","82","42.12886454279485","42.12886454279485","42.12886454279485"
"141100","83","83","83","45.189507715520186","45.189507715520186","45.189507715520186","83","83","83","44.92215342798341","44.92215342798341","44.92215342798341","83","83","83","45.8087126127008","45.8087126127008","45.8087126127008","83","83","83","45.412338293754026","45.412338293754026","45.412338293754026","83","83","83","46.052875528653516","46.052875528653516","46.052875528653516","83","83","83","48.79564242238316","48.79564242238316","48.79564242238316","83","83","83","44.722764627455334","44.722764627455334","44.722764627455334","83","83","83","47.575069661980336","47.575069661980336","47.575069661980336","83","83","83","49.525329402713716","49.525329402713716","49.525329402713716","83","83","83","42.20896095384126","42.20896095384126","42.20896095384126"
"142800","84","84","84","46.37992839817395","46.37992839817395","46.37992839817395","84","84","84","45.03173961246294","45.03173961246294","45.03173961246294","84","84","84","45.309338234506","45.309338234506","45.309338234506","84","84","84","46.09694834061003","46.09694834061003","46.09694834061003","84","84","84","47.78458740069619","47.78458740069619","47.78458740069619","84","84","84","49.157321410474445","49.157321410474445","49.157321410474445","84","84","84","45.04268999717579","45.04268999717579","45.04268999717579","84","84","84","47.40150560461145","47.40150560461145","47.40150560461145","84","84","84","50.542608184717466","50.542608184717466","50.542608184717466","84","84","84","42.78557641316586","42.78557641316586","42.78557641316586"
"144500","85","85","85","46.2917101294894","46.2917101294894","46.2917101294894","85","85","85","45.48241653964046","45.48241653964046","45.48241653964046","85","85","85","45.26793605680583","45.26793605680583","45.26793605680583","85","85","85","46.689801981034435","46.689801981034435","46.689801981034435","85","85","85","48.42163038647482","48.42163038647482","48.42163038647482","85","85","85","49.57594341389898","49.57594341389898","49.57594341389898","85","85","85","45.78545881372621","45.78545881372621","45.78545881372621","85","85","85","47.54633782741696","47.54633782741696","47.54633782741696","85","85","85","50.59284805021821","50.59284805021821","50.59284805021821","85","85","85","42.57390417303515","42.57390417303515","42.57390417303515"
"146200","86","86","86","46.40693021703669","46.40693021703669","46.40693021703669","86","86","86","45.54991830557699","45.54991830557699","45.54991830557699","86","86","86","45.67420921499256","45.67420921499256","45.67420921499256","86","86","86","46.26813415918875","46.26813415918875","46.26813415918875","86","86","86","47.605776412714185","47.605776412714185","47.605776412714185","86","86","86","49.29625039618044","49.29625039618044","49.29625039618044","86","86","86","47.266885043511586","47.266885043511586","47.266885043511586","86","86","86","48.26488674738485","48.26488674738485","48.26488674738485","86","86","86","50.79139370873697","50.79139370873697","50.79139370873697","86","86","86","42.99898718971709","42.99898718971709","42.99898718971709"
"147900","87","87","87","46.33591081102112","46.33591081102112","46.33591081102112","87","87","87","46.13378606675376","46.13378606675376","46.13378606675376","87","87","87","46.11472722090929","46.11472722090929","46.11472722090929","87","87","87","46.28052129109223","46.28052129109223","46.28052129109223","87","87","87","47.80618460453038","47.80618460453038","47.80618460453038","87","87","87","49.040172005766436","49.040172005766436","49.040172005766436","87","87","87","47.85423912737904","47.85423912737904","47.85423912737904","87","87","87","48.402296594426325","48.402296594426325","48.402296594426325","87","87","87","50.84449638591345","50.84449638591345","50.84449638591345","87","87","87","44.243836748730665","44.243836748730665","44.243836748730665"
"149600","88","88","88","46.23683383106331","46.23683383106331","46.23683383106331","88","88","88","46.40818046565076","46.40818046565076","46.40818046565076","88","88","88","45.64858455193828","45.64858455193828","45.64858455193828","88","88","88","46.406545085112775","46.406545085112775","46.406545085112775","88","88","88","47.91605307475745","47.91605307475745","47.91605307475745","88","88","88","49.254190758047244","49.254190758047244","49.254190758047244","88","88","88","47.84850697948687","47.84850697948687","47.84850697948687","88","88","88","48.46425036794275","48.46425036794275","48.46425036794275","88","88","88","50.607215730929084","50.607215730929084","50.607215730929084","88","88","88","44.996100768410976","44.996100768410976","44.996100768410976"
"151300","89","89","89","46.750468279766736","46.750468279766736","46.750468279766736","89","89","89","46.33704399316103","46.33704399316103","46.33704399316103","89","89","89","46.34586230429413","46.34586230429413","46.34586230429413","89","89","89","47.16327059040104","47.16327059040104","47.16327059040104","89","89","89","47.562101712817615","47.562101712817615","47.562101712817615","89","89","89","49.52982671005072","49.52982671005072","49.52982671005072","89","89","89","47.84384166637841","47.84384166637841","47.84384166637841","89","89","89","48.73945108741106","48.73945108741106","48.73945108741106","89","89","89","50.89248833040776","50.89248833040776","50.89248833040776","89","89","89","45.524930134552044","45.524930134552044","45.524930134552044"
"153000","90","90","90","47.63541960371977","47.63541960371977","47.63541960371977","90","90","90","46.963952737637385","46.963952737637385","46.963952737637385","90","90","90","46.34543690617393","46.34543690617393","46.34543690617393","90","90","90","46.53764829679221","46.53764829679221","46.53764829679221","90","90","90","47.12028343206335","47.12028343206335","47.12028343206335","90","90","90","49.690658949341405","49.690658949341405","49.690658949341405","90","90","90","48.41254396026972","48.41254396026972","48.41254396026972","90","90","90","49.83680726015456","49.83680726015456","49.83680726015456","90","90","90","50.81277664550806","50.81277664550806","50.81277664550806","90","90","90","45.99566169483406","45.99566169483406","45.99566169483406"
"154700","91","91","91","48.16110011976523","48.16110011976523","48.16110011976523","91","91","91","47.01053491359117","47.01053491359117","47.01053491359117","91","91","91","46.59559759926538","46.59559759926538","46.59559759926538","91","91","91","46.74786624254337","46.74786624254337","46.74786624254337","91","91","91","47.26726291807797","47.26726291807797","47.26726291807797","91","91","91","49.32417282546667","49.32417282546667","49.32417282546667","91","91","91","49.69557107622506","49.69557107622506","49.69557107622506","91","91","91","50.07820671432903","50.07820671432903","50.07820671432903","91","91","91","51.14035978281867","51.14035978281867","51.14035978281867","91","91","91","46.747025405485836","46.747025405485836","46.747025405485836"
"156400","92","92","92","48.50335955617131","48.50335955617131","48.50335955617131","92","92","92","48.00201475392723","48.00201475392723","48.00201475392723","92","92","92","46.736980051026336","46.736980051026336","46.736980051026336","92","92","92","47.21154289874482","47.21154289874482","47.21154289874482","92","92","92","47.82465463777209","47.82465463777209","47.82465463777209","92","92","92","48.23992498741148","48.23992498741148","48.23992498741148","92","92","92","49.03316250732388","49.03316250732388","49.03316250732388","92","92","92","50.27556511776694","50.27556511776694","50.27556511776694","92","92","92","51.385278267745605","51.385278267745605","51.385278267745605","92","92","92","47.13763523740551","47.13763523740551","47.13763523740551"
"158100","93","93","93","48.16196107456503","48.16196107456503","48.16196107456503","93","93","93","47.38380723044308","47.38380723044308","47.38380723044308","93","93","93","46.801346163816035","46.801346163816035","46.801346163816035","93","93","93","47.296812337063926","47.296812337063926","47.296812337063926","93","93","93","48.01690123395211","48.01690123395211","48.01690123395211","93","93","93","48.17988149979473","48.17988149979473","48.17988149979473","93","93","93","49.07175475879357","49.07175475879357","49.07175475879357","93","93","93","50.29973676348547","50.29973676348547","50.29973676348547","93","93","93","51.37973705162157","51.37973705162157","51.37973705162157","93","93","93","48.364856246802134","48.364856246802134","48.364856246802134"
"159800","94","94","94","48.72805551852507","48.72805551852507","48.72805551852507","94","94","94","47.60823081604757","47.60823081604757","47.60823081604757","94","94","94","46.00039511499648","46.00039511499648","46.00039511499648","94","94","94","47.527093936135714","47.527093936135714","47.527093936135714","94","94","94","48.268798902392106","48.268798902392106","48.268798902392106","94","94","94","47.59577684993606","47.59577684993606","47.59577684993606","94","94","94","49.53487838844354","49.53487838844354","49.53487838844354","94","94","94","50.266103383966886","50.266103383966886","50.266103383966886","94","94","94","51.4365344978951","51.4365344978951","51.4365344978951","94","94","94","47.37915028406844","47.37915028406844","47.37915028406844"
"161500","95","95","95","48.8204401785097","48.8204401785097","48.8204401785097","95","95","95","48.11165128305739","48.11165128305739","48.11165128305739","95","95","95","46.97188356473713","46.97188356473713","46.97188356473713","95","95","95","47.72070322112226","47.72070322112226","47.72070322112226","95","95","95","48.38899271027931","48.38899271027931","48.38899271027931","95","95","95","48.0324121702272","48.0324121702272","48.0324121702272","95","95","95","49.18788040095305","49.18788040095305","49.18788040095305","95","95","95","50.01735697226418","50.01735697226418","50.01735697226418","95","95","95","52.07911557890089","52.07911557890089","52.07911557890089","95","95","95","47.14842798305213","47.14842798305213","47.14842798305213"
"163200","96","96","96","49.24507333317853","49.24507333317853","49.24507333317853","96","96","96","48.5955020916973","48.5955020916973","48.5955020916973","96","96","96","46.12533531470254","46.12533531470254","46.12533531470254","96","96","96","48.124667039541094","48.124667039541094","48.124667039541094","96","96","96","47.445723812872764","47.445723812872764","47.445723812872764","96","96","96","47.84212726906015","47.84212726906015","47.84212726906015","96","96","96","49.22785693440401","49.22785693440401","49.22785693440401","96","96","96","50.79700814292043","50.79700814292043","50.79700814292043","96","96","96","51.92824486609171","51.92824486609171","51.92824486609171","96","96","96","47.37501557517878","47.37501557517878","47.37501557517878"
"164900","97","97","97","49.23514184536314","49.23514184536314","49.23514184536314","97","97","97","48.84600390649708","48.84600390649708","48.84600390649708","97","97","97","46.94173843877528","46.94173843877528","46.94173843877528","97","97","97","47.81274007396928","47.81274007396928","47.81274007396928","97","97","97","48.19975678423638","48.19975678423638","48.19975678423638","97","97","97","48.08381013746637","48.08381013746637","48.08381013746637","97","97","97","48.46893802655706","48.46893802655706","48.46893802655706","97","97","97","50.87381990149344","50.87381990149344","50.87381990149344","97","97","97","51.61512058067582","51.61512058067582","51.61512058067582","97","97","97","46.747109975520445","46.747109975520445","46.747109975520445"
"166600","98","98","98","49.248934673968186","49.248934673968186","49.248934673968186","98","98","98","48.75557466989877","48.75557466989877","48.75557466989877","98","98","98","47.34005591984747","47.34005591984747","47.34005591984747","98","98","98","47.927310241526","47.927310241526","47.927310241526","98","98","98","48.19728529173386","48.19728529173386","48.19728529173386","98","98","98","48.21860581627121","48.21860581627121","48.21860581627121","98","98","98","47.93160447490955","47.93160447490955","47.93160447490955","98","98","98","51.0269421457903","51.0269421457903","51.0269421457903","98","98","98","52.151361515574344","52.151361515574344","52.151361515574344","98","98","98","47.22931027703181","47.22931027703181","47.22931027703181"
"168300","99","99","99","49.16360587066883","49.16360587066883","49.16360587066883","99","99","99","49.61695352133516","49.61695352133516","49.61695352133516","99","99","99","48.1521980513223","48.1521980513223","48.1521980513223","99","99","99","47.91973151863521","47.91973151863521","47.91973151863521","99","99","99","48.423109249405464","48.423109249405464","48.423109249405464","99","99","99","47.68166413067785","47.68166413067785","47.68166413067785","99","99","99","47.50811215598245","47.50811215598245","47.50811215598245","99","99","99","51.52262847355229","51.52262847355229","51.52262847355229","99","99","99","51.97635062876073","51.97635062876073","51.97635062876073","99","99","99","48.123872844172695","48.123872844172695","48.123872844172695"
