"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - collision_end_mean","peach-sweep-10 - collision_end_mean__MIN","peach-sweep-10 - collision_end_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - collision_end_mean","exalted-sweep-9 - collision_end_mean__MIN","exalted-sweep-9 - collision_end_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - collision_end_mean","balmy-sweep-8 - collision_end_mean__MIN","balmy-sweep-8 - collision_end_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - collision_end_mean","still-sweep-7 - collision_end_mean__MIN","still-sweep-7 - collision_end_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - collision_end_mean","graceful-sweep-6 - collision_end_mean__MIN","graceful-sweep-6 - collision_end_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - collision_end_mean","lively-sweep-5 - collision_end_mean__MIN","lively-sweep-5 - collision_end_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - collision_end_mean","astral-sweep-4 - collision_end_mean__MIN","astral-sweep-4 - collision_end_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - collision_end_mean","light-sweep-3 - collision_end_mean__MIN","light-sweep-3 - collision_end_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - collision_end_mean","eternal-sweep-2 - collision_end_mean__MIN","eternal-sweep-2 - collision_end_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - collision_end_mean","hardy-sweep-1 - collision_end_mean__MIN","hardy-sweep-1 - collision_end_mean__MAX"
"65500","3275","3275","3275","0.24","0.24","0.24","3275","3275","3275","0.28","0.28","0.28","3275","3275","3275","0.4","0.4","0.4","3275","3275","3275","0.28","0.28","0.28","3275","3275","3275","0.32","0.32","0.32","3275","3275","3275","0.44","0.44","0.44","3275","3275","3275","0.28","0.28","0.28","3275","3275","3275","0.32","0.32","0.32","3275","3275","3275","0.36","0.36","0.36","3275","3275","3275","0.32","0.32","0.32"
"66000","3300","3300","3300","0.12","0.12","0.12","3300","3300","3300","0.32","0.32","0.32","3300","3300","3300","0.36","0.36","0.36","3300","3300","3300","0.32","0.32","0.32","3300","3300","3300","0.44","0.44","0.44","3300","3300","3300","0.48","0.48","0.48","3300","3300","3300","0.28","0.28","0.28","3300","3300","3300","0.4","0.4","0.4","3300","3300","3300","0.28","0.28","0.28","3300","3300","3300","0.36","0.36","0.36"
"66500","3325","3325","3325","0.32","0.32","0.32","3325","3325","3325","0.48","0.48","0.48","3325","3325","3325","0.32","0.32","0.32","3325","3325","3325","0.36","0.36","0.36","3325","3325","3325","0.36","0.36","0.36","3325","3325","3325","0.28","0.28","0.28","3325","3325","3325","0.36","0.36","0.36","3325","3325","3325","0.48","0.48","0.48","3325","3325","3325","0.24","0.24","0.24","3325","3325","3325","0.28","0.28","0.28"
"67000","3350","3350","3350","0.32","0.32","0.32","3350","3350","3350","0.44","0.44","0.44","3350","3350","3350","0.28","0.28","0.28","3350","3350","3350","0.32","0.32","0.32","3350","3350","3350","0.32","0.32","0.32","3350","3350","3350","0.4","0.4","0.4","3350","3350","3350","0.32","0.32","0.32","3350","3350","3350","0.36","0.36","0.36","3350","3350","3350","0.32","0.32","0.32","3350","3350","3350","0.24","0.24","0.24"
"67500","3375","3375","3375","0.32","0.32","0.32","3375","3375","3375","0.44","0.44","0.44","3375","3375","3375","0.4","0.4","0.4","3375","3375","3375","0.32","0.32","0.32","3375","3375","3375","0.28","0.28","0.28","3375","3375","3375","0.32","0.32","0.32","3375","3375","3375","0.4","0.4","0.4","3375","3375","3375","0.32","0.32","0.32","3375","3375","3375","0.36","0.36","0.36","3375","3375","3375","0.2","0.2","0.2"
"68000","3400","3400","3400","0.4","0.4","0.4","3400","3400","3400","0.4","0.4","0.4","3400","3400","3400","0.32","0.32","0.32","3400","3400","3400","0.44","0.44","0.44","3400","3400","3400","0.28","0.28","0.28","3400","3400","3400","0.24","0.24","0.24","3400","3400","3400","0.32","0.32","0.32","3400","3400","3400","0.36","0.36","0.36","3400","3400","3400","0.28","0.28","0.28","3400","3400","3400","0.28","0.28","0.28"
"68500","3425","3425","3425","0.4","0.4","0.4","3425","3425","3425","0.24","0.24","0.24","3425","3425","3425","0.32","0.32","0.32","3425","3425","3425","0.44","0.44","0.44","3425","3425","3425","0.28","0.28","0.28","3425","3425","3425","0.28","0.28","0.28","3425","3425","3425","0.36","0.36","0.36","3425","3425","3425","0.36","0.36","0.36","3425","3425","3425","0.36","0.36","0.36","3425","3425","3425","0.32","0.32","0.32"
"69000","3450","3450","3450","0.36","0.36","0.36","3450","3450","3450","0.24","0.24","0.24","3450","3450","3450","0.24","0.24","0.24","3450","3450","3450","0.44","0.44","0.44","3450","3450","3450","0.28","0.28","0.28","3450","3450","3450","0.36","0.36","0.36","3450","3450","3450","0.32","0.32","0.32","3450","3450","3450","0.32","0.32","0.32","3450","3450","3450","0.4","0.4","0.4","3450","3450","3450","0.4","0.4","0.4"
"69500","3475","3475","3475","0.28","0.28","0.28","3475","3475","3475","0.28","0.28","0.28","3475","3475","3475","0.28","0.28","0.28","3475","3475","3475","0.32","0.32","0.32","3475","3475","3475","0.44","0.44","0.44","3475","3475","3475","0.36","0.36","0.36","3475","3475","3475","0.36","0.36","0.36","3475","3475","3475","0.28","0.28","0.28","3475","3475","3475","0.44","0.44","0.44","3475","3475","3475","0.24","0.24","0.24"
"70000","3500","3500","3500","0.28","0.28","0.28","3500","3500","3500","0.28","0.28","0.28","3500","3500","3500","0.36","0.36","0.36","3500","3500","3500","0.24","0.24","0.24","3500","3500","3500","0.52","0.52","0.52","3500","3500","3500","0.32","0.32","0.32","3500","3500","3500","0.44","0.44","0.44","3500","3500","3500","0.36","0.36","0.36","3500","3500","3500","0.32","0.32","0.32","3500","3500","3500","0.24","0.24","0.24"
"70500","3525","3525","3525","0.32","0.32","0.32","3525","3525","3525","0.2","0.2","0.2","3525","3525","3525","0.36","0.36","0.36","3525","3525","3525","0.32","0.32","0.32","3525","3525","3525","0.48","0.48","0.48","3525","3525","3525","0.36","0.36","0.36","3525","3525","3525","0.28","0.28","0.28","3525","3525","3525","0.44","0.44","0.44","3525","3525","3525","0.36","0.36","0.36","3525","3525","3525","0.4","0.4","0.4"
"71000","3550","3550","3550","0.36","0.36","0.36","3550","3550","3550","0.4","0.4","0.4","3550","3550","3550","0.36","0.36","0.36","3550","3550","3550","0.4","0.4","0.4","3550","3550","3550","0.36","0.36","0.36","3550","3550","3550","0.24","0.24","0.24","3550","3550","3550","0.24","0.24","0.24","3550","3550","3550","0.32","0.32","0.32","3550","3550","3550","0.28","0.28","0.28","3550","3550","3550","0.4","0.4","0.4"
"71500","3575","3575","3575","0.32","0.32","0.32","3575","3575","3575","0.36","0.36","0.36","3575","3575","3575","0.36","0.36","0.36","3575","3575","3575","0.44","0.44","0.44","3575","3575","3575","0.28","0.28","0.28","3575","3575","3575","0.36","0.36","0.36","3575","3575","3575","0.36","0.36","0.36","3575","3575","3575","0.4","0.4","0.4","3575","3575","3575","0.4","0.4","0.4","3575","3575","3575","0.36","0.36","0.36"
"72000","3600","3600","3600","0.36","0.36","0.36","3600","3600","3600","0.16","0.16","0.16","3600","3600","3600","0.36","0.36","0.36","3600","3600","3600","0.4","0.4","0.4","3600","3600","3600","0.28","0.28","0.28","3600","3600","3600","0.44","0.44","0.44","3600","3600","3600","0.28","0.28","0.28","3600","3600","3600","0.28","0.28","0.28","3600","3600","3600","0.52","0.52","0.52","3600","3600","3600","0.28","0.28","0.28"
"72500","3625","3625","3625","0.36","0.36","0.36","3625","3625","3625","0.28","0.28","0.28","3625","3625","3625","0.28","0.28","0.28","3625","3625","3625","0.44","0.44","0.44","3625","3625","3625","0.28","0.28","0.28","3625","3625","3625","0.32","0.32","0.32","3625","3625","3625","0.2","0.2","0.2","3625","3625","3625","0.44","0.44","0.44","3625","3625","3625","0.44","0.44","0.44","3625","3625","3625","0.4","0.4","0.4"
"73000","3650","3650","3650","0.44","0.44","0.44","3650","3650","3650","0.48","0.48","0.48","3650","3650","3650","0.32","0.32","0.32","3650","3650","3650","0.36","0.36","0.36","3650","3650","3650","0.32","0.32","0.32","3650","3650","3650","0.4","0.4","0.4","3650","3650","3650","0.24","0.24","0.24","3650","3650","3650","0.4","0.4","0.4","3650","3650","3650","0.44","0.44","0.44","3650","3650","3650","0.32","0.32","0.32"
"73500","3675","3675","3675","0.28","0.28","0.28","3675","3675","3675","0.44","0.44","0.44","3675","3675","3675","0.44","0.44","0.44","3675","3675","3675","0.28","0.28","0.28","3675","3675","3675","0.32","0.32","0.32","3675","3675","3675","0.4","0.4","0.4","3675","3675","3675","0.2","0.2","0.2","3675","3675","3675","0.28","0.28","0.28","3675","3675","3675","0.44","0.44","0.44","3675","3675","3675","0.28","0.28","0.28"
"74000","3700","3700","3700","0.32","0.32","0.32","3700","3700","3700","0.32","0.32","0.32","3700","3700","3700","0.36","0.36","0.36","3700","3700","3700","0.28","0.28","0.28","3700","3700","3700","0.28","0.28","0.28","3700","3700","3700","0.44","0.44","0.44","3700","3700","3700","0.36","0.36","0.36","3700","3700","3700","0.24","0.24","0.24","3700","3700","3700","0.44","0.44","0.44","3700","3700","3700","0.24","0.24","0.24"
"74500","3725","3725","3725","0.2","0.2","0.2","3725","3725","3725","0.28","0.28","0.28","3725","3725","3725","0.36","0.36","0.36","3725","3725","3725","0.36","0.36","0.36","3725","3725","3725","0.4","0.4","0.4","3725","3725","3725","0.36","0.36","0.36","3725","3725","3725","0.44","0.44","0.44","3725","3725","3725","0.32","0.32","0.32","3725","3725","3725","0.48","0.48","0.48","3725","3725","3725","0.32","0.32","0.32"
"75000","3750","3750","3750","0.24","0.24","0.24","3750","3750","3750","0.48","0.48","0.48","3750","3750","3750","0.36","0.36","0.36","3750","3750","3750","0.36","0.36","0.36","3750","3750","3750","0.44","0.44","0.44","3750","3750","3750","0.36","0.36","0.36","3750","3750","3750","0.36","0.36","0.36","3750","3750","3750","0.28","0.28","0.28","3750","3750","3750","0.4","0.4","0.4","3750","3750","3750","0.48","0.48","0.48"
"75500","3775","3775","3775","0.2","0.2","0.2","3775","3775","3775","0.4","0.4","0.4","3775","3775","3775","0.36","0.36","0.36","3775","3775","3775","0.36","0.36","0.36","3775","3775","3775","0.44","0.44","0.44","3775","3775","3775","0.36","0.36","0.36","3775","3775","3775","0.36","0.36","0.36","3775","3775","3775","0.24","0.24","0.24","3775","3775","3775","0.32","0.32","0.32","3775","3775","3775","0.52","0.52","0.52"
"76000","3800","3800","3800","0.28","0.28","0.28","3800","3800","3800","0.36","0.36","0.36","3800","3800","3800","0.4","0.4","0.4","3800","3800","3800","0.48","0.48","0.48","3800","3800","3800","0.36","0.36","0.36","3800","3800","3800","0.4","0.4","0.4","3800","3800","3800","0.4","0.4","0.4","3800","3800","3800","0.32","0.32","0.32","3800","3800","3800","0.32","0.32","0.32","3800","3800","3800","0.4","0.4","0.4"
"76500","3825","3825","3825","0.4","0.4","0.4","3825","3825","3825","0.24","0.24","0.24","3825","3825","3825","0.24","0.24","0.24","3825","3825","3825","0.36","0.36","0.36","3825","3825","3825","0.44","0.44","0.44","3825","3825","3825","0.32","0.32","0.32","3825","3825","3825","0.4","0.4","0.4","3825","3825","3825","0.28","0.28","0.28","3825","3825","3825","0.24","0.24","0.24","3825","3825","3825","0.36","0.36","0.36"
"77000","3850","3850","3850","0.32","0.32","0.32","3850","3850","3850","0.24","0.24","0.24","3850","3850","3850","0.32","0.32","0.32","3850","3850","3850","0.28","0.28","0.28","3850","3850","3850","0.48","0.48","0.48","3850","3850","3850","0.36","0.36","0.36","3850","3850","3850","0.36","0.36","0.36","3850","3850","3850","0.44","0.44","0.44","3850","3850","3850","0.24","0.24","0.24","3850","3850","3850","0.4","0.4","0.4"
"77500","3875","3875","3875","0.28","0.28","0.28","3875","3875","3875","0.2","0.2","0.2","3875","3875","3875","0.32","0.32","0.32","3875","3875","3875","0.32","0.32","0.32","3875","3875","3875","0.36","0.36","0.36","3875","3875","3875","0.32","0.32","0.32","3875","3875","3875","0.24","0.24","0.24","3875","3875","3875","0.44","0.44","0.44","3875","3875","3875","0.36","0.36","0.36","3875","3875","3875","0.32","0.32","0.32"
"78000","3900","3900","3900","0.4","0.4","0.4","3900","3900","3900","0.28","0.28","0.28","3900","3900","3900","0.4","0.4","0.4","3900","3900","3900","0.44","0.44","0.44","3900","3900","3900","0.4","0.4","0.4","3900","3900","3900","0.36","0.36","0.36","3900","3900","3900","0.28","0.28","0.28","3900","3900","3900","0.28","0.28","0.28","3900","3900","3900","0.32","0.32","0.32","3900","3900","3900","0.36","0.36","0.36"
"78500","3925","3925","3925","0.52","0.52","0.52","3925","3925","3925","0.36","0.36","0.36","3925","3925","3925","0.44","0.44","0.44","3925","3925","3925","0.32","0.32","0.32","3925","3925","3925","0.4","0.4","0.4","3925","3925","3925","0.36","0.36","0.36","3925","3925","3925","0.4","0.4","0.4","3925","3925","3925","0.4","0.4","0.4","3925","3925","3925","0.24","0.24","0.24","3925","3925","3925","0.28","0.28","0.28"
"79000","3950","3950","3950","0.48","0.48","0.48","3950","3950","3950","0.4","0.4","0.4","3950","3950","3950","0.4","0.4","0.4","3950","3950","3950","0.28","0.28","0.28","3950","3950","3950","0.36","0.36","0.36","3950","3950","3950","0.28","0.28","0.28","3950","3950","3950","0.4","0.4","0.4","3950","3950","3950","0.4","0.4","0.4","3950","3950","3950","0.28","0.28","0.28","3950","3950","3950","0.16","0.16","0.16"
"79500","3975","3975","3975","0.4","0.4","0.4","3975","3975","3975","0.4","0.4","0.4","3975","3975","3975","0.44","0.44","0.44","3975","3975","3975","0.28","0.28","0.28","3975","3975","3975","0.28","0.28","0.28","3975","3975","3975","0.44","0.44","0.44","3975","3975","3975","0.28","0.28","0.28","3975","3975","3975","0.32","0.32","0.32","3975","3975","3975","0.36","0.36","0.36","3975","3975","3975","0.24","0.24","0.24"
"80500","4025","4025","4025","0.28","0.28","0.28","4025","4025","4025","0.52","0.52","0.52","4025","4025","4025","0.36","0.36","0.36","4025","4025","4025","0.28","0.28","0.28","4025","4025","4025","0.36","0.36","0.36","4025","4025","4025","0.4","0.4","0.4","4025","4025","4025","0.4","0.4","0.4","4025","4025","4025","0.32","0.32","0.32","4025","4025","4025","0.32","0.32","0.32","4025","4025","4025","0.32","0.32","0.32"
"81000","4050","4050","4050","0.32","0.32","0.32","4050","4050","4050","0.4","0.4","0.4","4050","4050","4050","0.32","0.32","0.32","4050","4050","4050","0.24","0.24","0.24","4050","4050","4050","0.52","0.52","0.52","4050","4050","4050","0.28","0.28","0.28","4050","4050","4050","0.4","0.4","0.4","4050","4050","4050","0.4","0.4","0.4","4050","4050","4050","0.36","0.36","0.36","4050","4050","4050","0.32","0.32","0.32"
"81500","4075","4075","4075","0.44","0.44","0.44","4075","4075","4075","0.4","0.4","0.4","4075","4075","4075","0.36","0.36","0.36","4075","4075","4075","0.32","0.32","0.32","4075","4075","4075","0.48","0.48","0.48","4075","4075","4075","0.36","0.36","0.36","4075","4075","4075","0.36","0.36","0.36","4075","4075","4075","0.48","0.48","0.48","4075","4075","4075","0.32","0.32","0.32","4075","4075","4075","0.4","0.4","0.4"
"82000","4100","4100","4100","0.32","0.32","0.32","4100","4100","4100","0.24","0.24","0.24","4100","4100","4100","0.4","0.4","0.4","4100","4100","4100","0.32","0.32","0.32","4100","4100","4100","0.28","0.28","0.28","4100","4100","4100","0.44","0.44","0.44","4100","4100","4100","0.32","0.32","0.32","4100","4100","4100","0.4","0.4","0.4","4100","4100","4100","0.36","0.36","0.36","4100","4100","4100","0.36","0.36","0.36"
"82500","4125","4125","4125","0.44","0.44","0.44","4125","4125","4125","0.16","0.16","0.16","4125","4125","4125","0.36","0.36","0.36","4125","4125","4125","0.32","0.32","0.32","4125","4125","4125","0.32","0.32","0.32","4125","4125","4125","0.36","0.36","0.36","4125","4125","4125","0.28","0.28","0.28","4125","4125","4125","0.32","0.32","0.32","4125","4125","4125","0.2","0.2","0.2","4125","4125","4125","0.32","0.32","0.32"
"83000","4150","4150","4150","0.44","0.44","0.44","4150","4150","4150","0.12","0.12","0.12","4150","4150","4150","0.28","0.28","0.28","4150","4150","4150","0.4","0.4","0.4","4150","4150","4150","0.32","0.32","0.32","4150","4150","4150","0.36","0.36","0.36","4150","4150","4150","0.28","0.28","0.28","4150","4150","4150","0.28","0.28","0.28","4150","4150","4150","0.16","0.16","0.16","4150","4150","4150","0.32","0.32","0.32"
"83500","4175","4175","4175","0.52","0.52","0.52","4175","4175","4175","0.36","0.36","0.36","4175","4175","4175","0.44","0.44","0.44","4175","4175","4175","0.44","0.44","0.44","4175","4175","4175","0.4","0.4","0.4","4175","4175","4175","0.36","0.36","0.36","4175","4175","4175","0.4","0.4","0.4","4175","4175","4175","0.28","0.28","0.28","4175","4175","4175","0.36","0.36","0.36","4175","4175","4175","0.32","0.32","0.32"
"84000","4200","4200","4200","0.44","0.44","0.44","4200","4200","4200","0.44","0.44","0.44","4200","4200","4200","0.52","0.52","0.52","4200","4200","4200","0.44","0.44","0.44","4200","4200","4200","0.44","0.44","0.44","4200","4200","4200","0.24","0.24","0.24","4200","4200","4200","0.44","0.44","0.44","4200","4200","4200","0.28","0.28","0.28","4200","4200","4200","0.4","0.4","0.4","4200","4200","4200","0.32","0.32","0.32"
"84500","4225","4225","4225","0.36","0.36","0.36","4225","4225","4225","0.44","0.44","0.44","4225","4225","4225","0.48","0.48","0.48","4225","4225","4225","0.4","0.4","0.4","4225","4225","4225","0.36","0.36","0.36","4225","4225","4225","0.36","0.36","0.36","4225","4225","4225","0.48","0.48","0.48","4225","4225","4225","0.36","0.36","0.36","4225","4225","4225","0.28","0.28","0.28","4225","4225","4225","0.28","0.28","0.28"
"85000","4250","4250","4250","0.44","0.44","0.44","4250","4250","4250","0.24","0.24","0.24","4250","4250","4250","0.44","0.44","0.44","4250","4250","4250","0.32","0.32","0.32","4250","4250","4250","0.36","0.36","0.36","4250","4250","4250","0.32","0.32","0.32","4250","4250","4250","0.4","0.4","0.4","4250","4250","4250","0.4","0.4","0.4","4250","4250","4250","0.32","0.32","0.32","4250","4250","4250","0.28","0.28","0.28"
"85500","4275","4275","4275","0.44","0.44","0.44","4275","4275","4275","0.32","0.32","0.32","4275","4275","4275","0.4","0.4","0.4","4275","4275","4275","0.28","0.28","0.28","4275","4275","4275","0.32","0.32","0.32","4275","4275","4275","0.44","0.44","0.44","4275","4275","4275","0.28","0.28","0.28","4275","4275","4275","0.36","0.36","0.36","4275","4275","4275","0.28","0.28","0.28","4275","4275","4275","0.28","0.28","0.28"
"86000","4300","4300","4300","0.28","0.28","0.28","4300","4300","4300","0.36","0.36","0.36","4300","4300","4300","0.44","0.44","0.44","4300","4300","4300","0.32","0.32","0.32","4300","4300","4300","0.28","0.28","0.28","4300","4300","4300","0.52","0.52","0.52","4300","4300","4300","0.36","0.36","0.36","4300","4300","4300","0.24","0.24","0.24","4300","4300","4300","0.24","0.24","0.24","4300","4300","4300","0.2","0.2","0.2"
"86500","4325","4325","4325","0.36","0.36","0.36","4325","4325","4325","0.44","0.44","0.44","4325","4325","4325","0.44","0.44","0.44","4325","4325","4325","0.32","0.32","0.32","4325","4325","4325","0.32","0.32","0.32","4325","4325","4325","0.4","0.4","0.4","4325","4325","4325","0.36","0.36","0.36","4325","4325","4325","0.28","0.28","0.28","4325","4325","4325","0.32","0.32","0.32","4325","4325","4325","0.32","0.32","0.32"
"87000","4350","4350","4350","0.4","0.4","0.4","4350","4350","4350","0.4","0.4","0.4","4350","4350","4350","0.36","0.36","0.36","4350","4350","4350","0.28","0.28","0.28","4350","4350","4350","0.24","0.24","0.24","4350","4350","4350","0.44","0.44","0.44","4350","4350","4350","0.32","0.32","0.32","4350","4350","4350","0.32","0.32","0.32","4350","4350","4350","0.36","0.36","0.36","4350","4350","4350","0.28","0.28","0.28"
"87500","4375","4375","4375","0.4","0.4","0.4","4375","4375","4375","0.32","0.32","0.32","4375","4375","4375","0.4","0.4","0.4","4375","4375","4375","0.32","0.32","0.32","4375","4375","4375","0.32","0.32","0.32","4375","4375","4375","0.32","0.32","0.32","4375","4375","4375","0.28","0.28","0.28","4375","4375","4375","0.28","0.28","0.28","4375","4375","4375","0.32","0.32","0.32","4375","4375","4375","0.4","0.4","0.4"
"88000","4400","4400","4400","0.4","0.4","0.4","4400","4400","4400","0.28","0.28","0.28","4400","4400","4400","0.36","0.36","0.36","4400","4400","4400","0.32","0.32","0.32","4400","4400","4400","0.4","0.4","0.4","4400","4400","4400","0.28","0.28","0.28","4400","4400","4400","0.36","0.36","0.36","4400","4400","4400","0.36","0.36","0.36","4400","4400","4400","0.24","0.24","0.24","4400","4400","4400","0.28","0.28","0.28"
"88500","4425","4425","4425","0.4","0.4","0.4","4425","4425","4425","0.32","0.32","0.32","4425","4425","4425","0.36","0.36","0.36","4425","4425","4425","0.32","0.32","0.32","4425","4425","4425","0.4","0.4","0.4","4425","4425","4425","0.36","0.36","0.36","4425","4425","4425","0.4","0.4","0.4","4425","4425","4425","0.56","0.56","0.56","4425","4425","4425","0.28","0.28","0.28","4425","4425","4425","0.28","0.28","0.28"
"89000","4450","4450","4450","0.36","0.36","0.36","4450","4450","4450","0.44","0.44","0.44","4450","4450","4450","0.28","0.28","0.28","4450","4450","4450","0.36","0.36","0.36","4450","4450","4450","0.4","0.4","0.4","4450","4450","4450","0.24","0.24","0.24","4450","4450","4450","0.44","0.44","0.44","4450","4450","4450","0.48","0.48","0.48","4450","4450","4450","0.2","0.2","0.2","4450","4450","4450","0.24","0.24","0.24"
"89500","4475","4475","4475","0.44","0.44","0.44","4475","4475","4475","0.44","0.44","0.44","4475","4475","4475","0.28","0.28","0.28","4475","4475","4475","0.36","0.36","0.36","4475","4475","4475","0.4","0.4","0.4","4475","4475","4475","0.32","0.32","0.32","4475","4475","4475","0.24","0.24","0.24","4475","4475","4475","0.4","0.4","0.4","4475","4475","4475","0.24","0.24","0.24","4475","4475","4475","0.24","0.24","0.24"
"90000","4500","4500","4500","0.48","0.48","0.48","4500","4500","4500","0.4","0.4","0.4","4500","4500","4500","0.48","0.48","0.48","4500","4500","4500","0.32","0.32","0.32","4500","4500","4500","0.24","0.24","0.24","4500","4500","4500","0.28","0.28","0.28","4500","4500","4500","0.28","0.28","0.28","4500","4500","4500","0.44","0.44","0.44","4500","4500","4500","0.44","0.44","0.44","4500","4500","4500","0.28","0.28","0.28"
"90500","4525","4525","4525","0.4","0.4","0.4","4525","4525","4525","0.44","0.44","0.44","4525","4525","4525","0.36","0.36","0.36","4525","4525","4525","0.36","0.36","0.36","4525","4525","4525","0.36","0.36","0.36","4525","4525","4525","0.24","0.24","0.24","4525","4525","4525","0.36","0.36","0.36","4525","4525","4525","0.4","0.4","0.4","4525","4525","4525","0.48","0.48","0.48","4525","4525","4525","0.24","0.24","0.24"
"91000","4550","4550","4550","0.4","0.4","0.4","4550","4550","4550","0.4","0.4","0.4","4550","4550","4550","0.36","0.36","0.36","4550","4550","4550","0.32","0.32","0.32","4550","4550","4550","0.4","0.4","0.4","4550","4550","4550","0.28","0.28","0.28","4550","4550","4550","0.32","0.32","0.32","4550","4550","4550","0.4","0.4","0.4","4550","4550","4550","0.36","0.36","0.36","4550","4550","4550","0.36","0.36","0.36"
"91500","4575","4575","4575","0.36","0.36","0.36","4575","4575","4575","0.32","0.32","0.32","4575","4575","4575","0.4","0.4","0.4","4575","4575","4575","0.2","0.2","0.2","4575","4575","4575","0.44","0.44","0.44","4575","4575","4575","0.36","0.36","0.36","4575","4575","4575","0.36","0.36","0.36","4575","4575","4575","0.4","0.4","0.4","4575","4575","4575","0.24","0.24","0.24","4575","4575","4575","0.52","0.52","0.52"
"92000","4600","4600","4600","0.36","0.36","0.36","4600","4600","4600","0.36","0.36","0.36","4600","4600","4600","0.52","0.52","0.52","4600","4600","4600","0.32","0.32","0.32","4600","4600","4600","0.32","0.32","0.32","4600","4600","4600","0.28","0.28","0.28","4600","4600","4600","0.36","0.36","0.36","4600","4600","4600","0.36","0.36","0.36","4600","4600","4600","0.36","0.36","0.36","4600","4600","4600","0.52","0.52","0.52"
"92500","4625","4625","4625","0.4","0.4","0.4","4625","4625","4625","0.32","0.32","0.32","4625","4625","4625","0.4","0.4","0.4","4625","4625","4625","0.36","0.36","0.36","4625","4625","4625","0.28","0.28","0.28","4625","4625","4625","0.28","0.28","0.28","4625","4625","4625","0.24","0.24","0.24","4625","4625","4625","0.32","0.32","0.32","4625","4625","4625","0.32","0.32","0.32","4625","4625","4625","0.56","0.56","0.56"
"93000","4650","4650","4650","0.44","0.44","0.44","4650","4650","4650","0.32","0.32","0.32","4650","4650","4650","0.28","0.28","0.28","4650","4650","4650","0.28","0.28","0.28","4650","4650","4650","0.32","0.32","0.32","4650","4650","4650","0.36","0.36","0.36","4650","4650","4650","0.28","0.28","0.28","4650","4650","4650","0.32","0.32","0.32","4650","4650","4650","0.28","0.28","0.28","4650","4650","4650","0.48","0.48","0.48"
"93500","4675","4675","4675","0.24","0.24","0.24","4675","4675","4675","0.24","0.24","0.24","4675","4675","4675","0.4","0.4","0.4","4675","4675","4675","0.28","0.28","0.28","4675","4675","4675","0.4","0.4","0.4","4675","4675","4675","0.36","0.36","0.36","4675","4675","4675","0.24","0.24","0.24","4675","4675","4675","0.36","0.36","0.36","4675","4675","4675","0.28","0.28","0.28","4675","4675","4675","0.36","0.36","0.36"
"94000","4700","4700","4700","0.28","0.28","0.28","4700","4700","4700","0.32","0.32","0.32","4700","4700","4700","0.4","0.4","0.4","4700","4700","4700","0.36","0.36","0.36","4700","4700","4700","0.4","0.4","0.4","4700","4700","4700","0.36","0.36","0.36","4700","4700","4700","0.4","0.4","0.4","4700","4700","4700","0.4","0.4","0.4","4700","4700","4700","0.32","0.32","0.32","4700","4700","4700","0.2","0.2","0.2"
"94500","4725","4725","4725","0.32","0.32","0.32","4725","4725","4725","0.36","0.36","0.36","4725","4725","4725","0.36","0.36","0.36","4725","4725","4725","0.28","0.28","0.28","4725","4725","4725","0.4","0.4","0.4","4725","4725","4725","0.28","0.28","0.28","4725","4725","4725","0.56","0.56","0.56","4725","4725","4725","0.32","0.32","0.32","4725","4725","4725","0.32","0.32","0.32","4725","4725","4725","0.24","0.24","0.24"
"95000","4750","4750","4750","0.4","0.4","0.4","4750","4750","4750","0.36","0.36","0.36","4750","4750","4750","0.36","0.36","0.36","4750","4750","4750","0.2","0.2","0.2","4750","4750","4750","0.36","0.36","0.36","4750","4750","4750","0.32","0.32","0.32","4750","4750","4750","0.44","0.44","0.44","4750","4750","4750","0.44","0.44","0.44","4750","4750","4750","0.32","0.32","0.32","4750","4750","4750","0.36","0.36","0.36"
