"time_steps","snowy-sweep-2 - _step","snowy-sweep-2 - _step__MIN","snowy-sweep-2 - _step__MAX","snowy-sweep-2 - expert_avg_eval_r_mean","snowy-sweep-2 - expert_avg_eval_r_mean__MIN","snowy-sweep-2 - expert_avg_eval_r_mean__MAX","sweet-sweep-9 - _step","sweet-sweep-9 - _step__MIN","sweet-sweep-9 - _step__MAX","sweet-sweep-9 - expert_avg_eval_r_mean","sweet-sweep-9 - expert_avg_eval_r_mean__MIN","sweet-sweep-9 - expert_avg_eval_r_mean__MAX","pleasant-sweep-8 - _step","pleasant-sweep-8 - _step__MIN","pleasant-sweep-8 - _step__MAX","pleasant-sweep-8 - expert_avg_eval_r_mean","pleasant-sweep-8 - expert_avg_eval_r_mean__MIN","pleasant-sweep-8 - expert_avg_eval_r_mean__MAX","apricot-sweep-7 - _step","apricot-sweep-7 - _step__MIN","apricot-sweep-7 - _step__MAX","apricot-sweep-7 - expert_avg_eval_r_mean","apricot-sweep-7 - expert_avg_eval_r_mean__MIN","apricot-sweep-7 - expert_avg_eval_r_mean__MAX","fanciful-sweep-6 - _step","fanciful-sweep-6 - _step__MIN","fanciful-sweep-6 - _step__MAX","fanciful-sweep-6 - expert_avg_eval_r_mean","fanciful-sweep-6 - expert_avg_eval_r_mean__MIN","fanciful-sweep-6 - expert_avg_eval_r_mean__MAX","polished-sweep-5 - _step","polished-sweep-5 - _step__MIN","polished-sweep-5 - _step__MAX","polished-sweep-5 - expert_avg_eval_r_mean","polished-sweep-5 - expert_avg_eval_r_mean__MIN","polished-sweep-5 - expert_avg_eval_r_mean__MAX","sunny-sweep-4 - _step","sunny-sweep-4 - _step__MIN","sunny-sweep-4 - _step__MAX","sunny-sweep-4 - expert_avg_eval_r_mean","sunny-sweep-4 - expert_avg_eval_r_mean__MIN","sunny-sweep-4 - expert_avg_eval_r_mean__MAX","earthy-sweep-3 - _step","earthy-sweep-3 - _step__MIN","earthy-sweep-3 - _step__MAX","earthy-sweep-3 - expert_avg_eval_r_mean","earthy-sweep-3 - expert_avg_eval_r_mean__MIN","earthy-sweep-3 - expert_avg_eval_r_mean__MAX","pious-sweep-2 - _step","pious-sweep-2 - _step__MIN","pious-sweep-2 - _step__MAX","pious-sweep-2 - expert_avg_eval_r_mean","pious-sweep-2 - expert_avg_eval_r_mean__MIN","pious-sweep-2 - expert_avg_eval_r_mean__MAX","rich-sweep-1 - _step","rich-sweep-1 - _step__MIN","rich-sweep-1 - _step__MAX","rich-sweep-1 - expert_avg_eval_r_mean","rich-sweep-1 - expert_avg_eval_r_mean__MIN","rich-sweep-1 - expert_avg_eval_r_mean__MAX"
"104000","130","130","130","48.184669235546124","48.184669235546124","48.184669235546124","130","130","130","43.11896394430778","43.11896394430778","43.11896394430778","130","130","130","38.7639732443726","38.7639732443726","38.7639732443726","130","130","130","44.32604959920899","44.32604959920899","44.32604959920899","130","130","130","37.86034912501699","37.86034912501699","37.86034912501699","130","130","130","43.93372201942598","43.93372201942598","43.93372201942598","130","130","130","37.43486205209777","37.43486205209777","37.43486205209777","130","130","130","41.31336523328132","41.31336523328132","41.31336523328132","130","130","130","34.64416351505228","34.64416351505228","34.64416351505228","130","130","130","44.14450233618312","44.14450233618312","44.14450233618312"
"105600","132","132","132","47.88728112389533","47.88728112389533","47.88728112389533","132","132","132","42.86133750072926","42.86133750072926","42.86133750072926","132","132","132","38.68777284135623","38.68777284135623","38.68777284135623","132","132","132","44.70415192851295","44.70415192851295","44.70415192851295","132","132","132","37.75868247510414","37.75868247510414","37.75868247510414","132","132","132","44.16847460799691","44.16847460799691","44.16847460799691","132","132","132","37.60683509941458","37.60683509941458","37.60683509941458","132","132","132","41.50265249685037","41.50265249685037","41.50265249685037","132","132","132","35.325029575087484","35.325029575087484","35.325029575087484","132","132","132","44.9081978885138","44.9081978885138","44.9081978885138"
"107200","134","134","134","48.14431645230652","48.14431645230652","48.14431645230652","134","134","134","43.618988302214206","43.618988302214206","43.618988302214206","134","134","134","38.718910113387146","38.718910113387146","38.718910113387146","134","134","134","45.54851511196477","45.54851511196477","45.54851511196477","134","134","134","37.52245293585119","37.52245293585119","37.52245293585119","134","134","134","44.251540240136464","44.251540240136464","44.251540240136464","134","134","134","37.78969530808282","37.78969530808282","37.78969530808282","134","134","134","42.46268120007831","42.46268120007831","42.46268120007831","134","134","134","35.79434133460752","35.79434133460752","35.79434133460752","134","134","134","46.11169948355083","46.11169948355083","46.11169948355083"
"108800","136","136","136","47.474541332788796","47.474541332788796","47.474541332788796","136","136","136","43.895683501686754","43.895683501686754","43.895683501686754","136","136","136","39.00669153644284","39.00669153644284","39.00669153644284","136","136","136","45.67365934876071","45.67365934876071","45.67365934876071","136","136","136","38.40303479229806","38.40303479229806","38.40303479229806","136","136","136","45.22041494948751","45.22041494948751","45.22041494948751","136","136","136","38.24347696832151","38.24347696832151","38.24347696832151","136","136","136","42.258812771356546","42.258812771356546","42.258812771356546","136","136","136","35.656879646917616","35.656879646917616","35.656879646917616","136","136","136","46.93030336938383","46.93030336938383","46.93030336938383"
"110400","138","138","138","47.67696947618843","47.67696947618843","47.67696947618843","138","138","138","44.361898722493734","44.361898722493734","44.361898722493734","138","138","138","39.962563656146955","39.962563656146955","39.962563656146955","138","138","138","45.98867634441076","45.98867634441076","45.98867634441076","138","138","138","39.054324511448044","39.054324511448044","39.054324511448044","138","138","138","45.69995467763748","45.69995467763748","45.69995467763748","138","138","138","38.57732081122749","38.57732081122749","38.57732081122749","138","138","138","41.9480554273732","41.9480554273732","41.9480554273732","138","138","138","35.83096311671917","35.83096311671917","35.83096311671917","138","138","138","47.15065725980315","47.15065725980315","47.15065725980315"
"112000","140","140","140","47.8530644949022","47.8530644949022","47.8530644949022","140","140","140","44.286896175499415","44.286896175499415","44.286896175499415","140","140","140","40.09152348018354","40.09152348018354","40.09152348018354","140","140","140","46.27217373757494","46.27217373757494","46.27217373757494","140","140","140","39.23438328834227","39.23438328834227","39.23438328834227","140","140","140","45.240405803872356","45.240405803872356","45.240405803872356","140","140","140","39.015406735886046","39.015406735886046","39.015406735886046","140","140","140","42.258037056846455","42.258037056846455","42.258037056846455","140","140","140","36.06822485525124","36.06822485525124","36.06822485525124","140","140","140","47.05347766294031","47.05347766294031","47.05347766294031"
"113600","142","142","142","48.26623316372246","48.26623316372246","48.26623316372246","142","142","142","44.931823079362076","44.931823079362076","44.931823079362076","142","142","142","40.499360098432845","40.499360098432845","40.499360098432845","142","142","142","47.338960832567246","47.338960832567246","47.338960832567246","142","142","142","40.11667716913652","40.11667716913652","40.11667716913652","142","142","142","46.207790279461506","46.207790279461506","46.207790279461506","142","142","142","39.41315683405635","39.41315683405635","39.41315683405635","142","142","142","42.020749154366165","42.020749154366165","42.020749154366165","142","142","142","36.09796343425265","36.09796343425265","36.09796343425265","142","142","142","46.9365385464554","46.9365385464554","46.9365385464554"
"115200","144","144","144","48.22916716972073","48.22916716972073","48.22916716972073","144","144","144","44.644161954393624","44.644161954393624","44.644161954393624","144","144","144","41.03189835729231","41.03189835729231","41.03189835729231","144","144","144","47.519727236364425","47.519727236364425","47.519727236364425","144","144","144","40.818995510820045","40.818995510820045","40.818995510820045","144","144","144","46.44461328829451","46.44461328829451","46.44461328829451","144","144","144","40.58632725765825","40.58632725765825","40.58632725765825","144","144","144","42.8436004070876","42.8436004070876","42.8436004070876","144","144","144","36.550601845137464","36.550601845137464","36.550601845137464","144","144","144","47.37973668531792","47.37973668531792","47.37973668531792"
"116800","146","146","146","48.54801100017633","48.54801100017633","48.54801100017633","146","146","146","44.35556827227459","44.35556827227459","44.35556827227459","146","146","146","41.65028766061124","41.65028766061124","41.65028766061124","146","146","146","46.99261319425074","46.99261319425074","46.99261319425074","146","146","146","41.50476507754074","41.50476507754074","41.50476507754074","146","146","146","46.11283160130041","46.11283160130041","46.11283160130041","146","146","146","40.88922467172985","40.88922467172985","40.88922467172985","146","146","146","42.75055123884002","42.75055123884002","42.75055123884002","146","146","146","36.46722220787234","36.46722220787234","36.46722220787234","146","146","146","48.55878126230062","48.55878126230062","48.55878126230062"
"118400","148","148","148","48.65339849680308","48.65339849680308","48.65339849680308","148","148","148","45.300381132849544","45.300381132849544","45.300381132849544","148","148","148","41.95821274252648","41.95821274252648","41.95821274252648","148","148","148","47.6123626132596","47.6123626132596","47.6123626132596","148","148","148","41.68648083933838","41.68648083933838","41.68648083933838","148","148","148","46.628330092523704","46.628330092523704","46.628330092523704","148","148","148","41.58430747736503","41.58430747736503","41.58430747736503","148","148","148","43.018257268088135","43.018257268088135","43.018257268088135","148","148","148","36.61865016111242","36.61865016111242","36.61865016111242","148","148","148","48.496015666879906","48.496015666879906","48.496015666879906"
"120000","150","150","150","49.34819963600084","49.34819963600084","49.34819963600084","150","150","150","45.25295717321237","45.25295717321237","45.25295717321237","150","150","150","42.731536149075346","42.731536149075346","42.731536149075346","150","150","150","47.35018664049829","47.35018664049829","47.35018664049829","150","150","150","42.601348304115966","42.601348304115966","42.601348304115966","150","150","150","47.091119164045594","47.091119164045594","47.091119164045594","150","150","150","41.92144708909745","41.92144708909745","41.92144708909745","150","150","150","43.61380762659648","43.61380762659648","43.61380762659648","150","150","150","36.754994760615894","36.754994760615894","36.754994760615894","150","150","150","48.69797064680259","48.69797064680259","48.69797064680259"
"121600","152","152","152","49.17477376403288","49.17477376403288","49.17477376403288","152","152","152","45.45540825117825","45.45540825117825","45.45540825117825","152","152","152","43.24589071667696","43.24589071667696","43.24589071667696","152","152","152","47.24927445759491","47.24927445759491","47.24927445759491","152","152","152","42.66283531871947","42.66283531871947","42.66283531871947","152","152","152","47.634035433686556","47.634035433686556","47.634035433686556","152","152","152","42.1068348144567","42.1068348144567","42.1068348144567","152","152","152","43.79226175102169","43.79226175102169","43.79226175102169","152","152","152","36.827550595408624","36.827550595408624","36.827550595408624","152","152","152","49.45710846702622","49.45710846702622","49.45710846702622"
"123200","154","154","154","49.88660492757617","49.88660492757617","49.88660492757617","154","154","154","46.653105111502136","46.653105111502136","46.653105111502136","154","154","154","43.480876521500214","43.480876521500214","43.480876521500214","154","154","154","47.47001518248259","47.47001518248259","47.47001518248259","154","154","154","43.02230538138075","43.02230538138075","43.02230538138075","154","154","154","48.21116845188949","48.21116845188949","48.21116845188949","154","154","154","42.68364800865989","42.68364800865989","42.68364800865989","154","154","154","45.07968632414694","45.07968632414694","45.07968632414694","154","154","154","36.96486490084375","36.96486490084375","36.96486490084375","154","154","154","49.55418971796791","49.55418971796791","49.55418971796791"
"124800","156","156","156","49.755546250655044","49.755546250655044","49.755546250655044","156","156","156","47.17092587434603","47.17092587434603","47.17092587434603","156","156","156","43.94718438618287","43.94718438618287","43.94718438618287","156","156","156","47.70280898795499","47.70280898795499","47.70280898795499","156","156","156","42.75732664114676","42.75732664114676","42.75732664114676","156","156","156","49.00309362343745","49.00309362343745","49.00309362343745","156","156","156","42.965369889738405","42.965369889738405","42.965369889738405","156","156","156","45.34499309840321","45.34499309840321","45.34499309840321","156","156","156","37.415717850836714","37.415717850836714","37.415717850836714","156","156","156","50.309386796675334","50.309386796675334","50.309386796675334"
"126400","158","158","158","49.82139713640815","49.82139713640815","49.82139713640815","158","158","158","48.395362710957436","48.395362710957436","48.395362710957436","158","158","158","44.1114815145651","44.1114815145651","44.1114815145651","158","158","158","47.72432173205578","47.72432173205578","47.72432173205578","158","158","158","43.413740449193966","43.413740449193966","43.413740449193966","158","158","158","49.270083264841105","49.270083264841105","49.270083264841105","158","158","158","43.660425147131726","43.660425147131726","43.660425147131726","158","158","158","45.66288006131319","45.66288006131319","45.66288006131319","158","158","158","37.866899839866825","37.866899839866825","37.866899839866825","158","158","158","50.63338629510267","50.63338629510267","50.63338629510267"
"128000","160","160","160","50.6147715540413","50.6147715540413","50.6147715540413","160","160","160","48.69415959851079","48.69415959851079","48.69415959851079","160","160","160","44.35549705397204","44.35549705397204","44.35549705397204","160","160","160","48.47253945082492","48.47253945082492","48.47253945082492","160","160","160","43.720628735128315","43.720628735128315","43.720628735128315","160","160","160","49.322686923515555","49.322686923515555","49.322686923515555","160","160","160","44.074845887541876","44.074845887541876","44.074845887541876","160","160","160","46.49827426710604","46.49827426710604","46.49827426710604","160","160","160","38.28776037130464","38.28776037130464","38.28776037130464","160","160","160","51.25681747089902","51.25681747089902","51.25681747089902"
"129600","162","162","162","51.52514267107543","51.52514267107543","51.52514267107543","162","162","162","48.599928612186275","48.599928612186275","48.599928612186275","162","162","162","45.26271595068692","45.26271595068692","45.26271595068692","162","162","162","47.6741895049765","47.6741895049765","47.6741895049765","162","162","162","44.48820706099727","44.48820706099727","44.48820706099727","162","162","162","50.04090400008824","50.04090400008824","50.04090400008824","162","162","162","45.03321239276228","45.03321239276228","45.03321239276228","162","162","162","46.65476004382246","46.65476004382246","46.65476004382246","162","162","162","38.32095831001523","38.32095831001523","38.32095831001523","162","162","162","51.61494550520641","51.61494550520641","51.61494550520641"
"131200","164","164","164","52.101114581096724","52.101114581096724","52.101114581096724","164","164","164","49.15590192267759","49.15590192267759","49.15590192267759","164","164","164","45.692389951330725","45.692389951330725","45.692389951330725","164","164","164","48.28738239557375","48.28738239557375","48.28738239557375","164","164","164","44.63728058853886","44.63728058853886","44.63728058853886","164","164","164","50.30103474780867","50.30103474780867","50.30103474780867","164","164","164","45.587078820131374","45.587078820131374","45.587078820131374","164","164","164","47.34377640952754","47.34377640952754","47.34377640952754","164","164","164","38.407793410362544","38.407793410362544","38.407793410362544","164","164","164","51.547930612735264","51.547930612735264","51.547930612735264"
"132800","166","166","166","52.87075614649819","52.87075614649819","52.87075614649819","166","166","166","49.60405191187804","49.60405191187804","49.60405191187804","166","166","166","46.15966634712271","46.15966634712271","46.15966634712271","166","166","166","48.5371944092778","48.5371944092778","48.5371944092778","166","166","166","45.276430117615156","45.276430117615156","45.276430117615156","166","166","166","51.48574009519509","51.48574009519509","51.48574009519509","166","166","166","46.45126829102265","46.45126829102265","46.45126829102265","166","166","166","47.01705014244094","47.01705014244094","47.01705014244094","166","166","166","38.64183211222686","38.64183211222686","38.64183211222686","166","166","166","51.35241883718364","51.35241883718364","51.35241883718364"
"134400","168","168","168","53.74119969707235","53.74119969707235","53.74119969707235","168","168","168","49.25727679489216","49.25727679489216","49.25727679489216","168","168","168","46.02731684035891","46.02731684035891","46.02731684035891","168","168","168","48.68567077196918","48.68567077196918","48.68567077196918","168","168","168","46.12697980444016","46.12697980444016","46.12697980444016","168","168","168","52.669332699214046","52.669332699214046","52.669332699214046","168","168","168","46.62616711492286","46.62616711492286","46.62616711492286","168","168","168","46.99100138929291","46.99100138929291","46.99100138929291","168","168","168","38.93746501609005","38.93746501609005","38.93746501609005","168","168","168","51.90876447626507","51.90876447626507","51.90876447626507"
"136000","170","170","170","53.91775260385901","53.91775260385901","53.91775260385901","170","170","170","49.357499963121235","49.357499963121235","49.357499963121235","170","170","170","45.92222387230689","45.92222387230689","45.92222387230689","170","170","170","49.302491487994914","49.302491487994914","49.302491487994914","170","170","170","46.19687000246484","46.19687000246484","46.19687000246484","170","170","170","53.737839676889045","53.737839676889045","53.737839676889045","170","170","170","47.2710009074402","47.2710009074402","47.2710009074402","170","170","170","47.68884040270593","47.68884040270593","47.68884040270593","170","170","170","39.08578926581471","39.08578926581471","39.08578926581471","170","170","170","52.4997055582679","52.4997055582679","52.4997055582679"
"137600","172","172","172","54.4123669504262","54.4123669504262","54.4123669504262","172","172","172","49.992100167170584","49.992100167170584","49.992100167170584","172","172","172","45.85755395445037","45.85755395445037","45.85755395445037","172","172","172","49.35823744462147","49.35823744462147","49.35823744462147","172","172","172","46.86648168840443","46.86648168840443","46.86648168840443","172","172","172","53.96140984966331","53.96140984966331","53.96140984966331","172","172","172","47.941857988634126","47.941857988634126","47.941857988634126","172","172","172","48.17863484976942","48.17863484976942","48.17863484976942","172","172","172","39.7857350101624","39.7857350101624","39.7857350101624","172","172","172","53.38193247215187","53.38193247215187","53.38193247215187"
"139200","174","174","174","54.26250943682245","54.26250943682245","54.26250943682245","174","174","174","50.402080325631026","50.402080325631026","50.402080325631026","174","174","174","46.52686717228049","46.52686717228049","46.52686717228049","174","174","174","49.942832100176595","49.942832100176595","49.942832100176595","174","174","174","46.733209671677145","46.733209671677145","46.733209671677145","174","174","174","54.49683939676021","54.49683939676021","54.49683939676021","174","174","174","48.268327891842034","48.268327891842034","48.268327891842034","174","174","174","48.44519970517891","48.44519970517891","48.44519970517891","174","174","174","40.09100942396278","40.09100942396278","40.09100942396278","174","174","174","53.043862494806746","53.043862494806746","53.043862494806746"
"140800","176","176","176","54.48591122382348","54.48591122382348","54.48591122382348","176","176","176","50.74214806841194","50.74214806841194","50.74214806841194","176","176","176","46.84554041380874","46.84554041380874","46.84554041380874","176","176","176","49.91771514359424","49.91771514359424","49.91771514359424","176","176","176","47.5265496533709","47.5265496533709","47.5265496533709","176","176","176","55.76546633288799","55.76546633288799","55.76546633288799","176","176","176","48.41728564616365","48.41728564616365","48.41728564616365","176","176","176","49.245423700143085","49.245423700143085","49.245423700143085","176","176","176","40.14228794194305","40.14228794194305","40.14228794194305","176","176","176","52.35103878678277","52.35103878678277","52.35103878678277"
"142400","178","178","178","54.614836658038755","54.614836658038755","54.614836658038755","178","178","178","51.13971459140155","51.13971459140155","51.13971459140155","178","178","178","46.87768883906745","46.87768883906745","46.87768883906745","178","178","178","50.08906035378585","50.08906035378585","50.08906035378585","178","178","178","48.67119254299217","48.67119254299217","48.67119254299217","178","178","178","55.71171908238837","55.71171908238837","55.71171908238837","178","178","178","48.91486213818834","48.91486213818834","48.91486213818834","178","178","178","49.30678401997358","49.30678401997358","49.30678401997358","178","178","178","40.42961766182633","40.42961766182633","40.42961766182633","178","178","178","52.12765088088376","52.12765088088376","52.12765088088376"
"144000","180","180","180","54.684367382526204","54.684367382526204","54.684367382526204","180","180","180","51.651546601359435","51.651546601359435","51.651546601359435","180","180","180","47.10549915331561","47.10549915331561","47.10549915331561","180","180","180","50.62806507701936","50.62806507701936","50.62806507701936","180","180","180","48.64763445925347","48.64763445925347","48.64763445925347","180","180","180","55.90333300388732","55.90333300388732","55.90333300388732","180","180","180","49.12210432073826","49.12210432073826","49.12210432073826","180","180","180","49.49943422539166","49.49943422539166","49.49943422539166","180","180","180","40.936516932072536","40.936516932072536","40.936516932072536","180","180","180","51.826879545891025","51.826879545891025","51.826879545891025"
"145600","182","182","182","54.320267064109636","54.320267064109636","54.320267064109636","182","182","182","52.224174134045825","52.224174134045825","52.224174134045825","182","182","182","47.45445887887497","47.45445887887497","47.45445887887497","182","182","182","51.535246133168314","51.535246133168314","51.535246133168314","182","182","182","49.92106339170219","49.92106339170219","49.92106339170219","182","182","182","55.95456473690205","55.95456473690205","55.95456473690205","182","182","182","49.57494360690758","49.57494360690758","49.57494360690758","182","182","182","49.78859487272836","49.78859487272836","49.78859487272836","182","182","182","40.83581572444714","40.83581572444714","40.83581572444714","182","182","182","52.53329796419501","52.53329796419501","52.53329796419501"
"147200","184","184","184","54.25653460967299","54.25653460967299","54.25653460967299","184","184","184","52.604838600804754","52.604838600804754","52.604838600804754","184","184","184","48.05982132552037","48.05982132552037","48.05982132552037","184","184","184","51.523320313301454","51.523320313301454","51.523320313301454","184","184","184","50.498997716919256","50.498997716919256","50.498997716919256","184","184","184","56.038352643605364","56.038352643605364","56.038352643605364","184","184","184","49.756641649505","49.756641649505","49.756641649505","184","184","184","50.2830997410161","50.2830997410161","50.2830997410161","184","184","184","40.986488476782576","40.986488476782576","40.986488476782576","184","184","184","52.464824708223","52.464824708223","52.464824708223"
"148800","186","186","186","55.24213818310349","55.24213818310349","55.24213818310349","186","186","186","53.0094496696616","53.0094496696616","53.0094496696616","186","186","186","48.30807034932981","48.30807034932981","48.30807034932981","186","186","186","52.00748010373964","52.00748010373964","52.00748010373964","186","186","186","50.64423951723511","50.64423951723511","50.64423951723511","186","186","186","55.876087230029164","55.876087230029164","55.876087230029164","186","186","186","50.122328106062724","50.122328106062724","50.122328106062724","186","186","186","50.22213219553863","50.22213219553863","50.22213219553863","186","186","186","41.41257408870683","41.41257408870683","41.41257408870683","186","186","186","52.50844684364408","52.50844684364408","52.50844684364408"
"150400","188","188","188","55.21620990738983","55.21620990738983","55.21620990738983","188","188","188","53.05646470206193","53.05646470206193","53.05646470206193","188","188","188","47.93096856919091","47.93096856919091","47.93096856919091","188","188","188","51.795378320875464","51.795378320875464","51.795378320875464","188","188","188","51.27275040567712","51.27275040567712","51.27275040567712","188","188","188","56.12930776939286","56.12930776939286","56.12930776939286","188","188","188","50.296504902503195","50.296504902503195","50.296504902503195","188","188","188","50.05644273386062","50.05644273386062","50.05644273386062","188","188","188","41.59727248775446","41.59727248775446","41.59727248775446","188","188","188","53.0398513355082","53.0398513355082","53.0398513355082"
"152000","190","190","190","55.75874793898833","55.75874793898833","55.75874793898833","190","190","190","53.657350374245844","53.657350374245844","53.657350374245844","190","190","190","48.36349331659939","48.36349331659939","48.36349331659939","190","190","190","52.22338192594294","52.22338192594294","52.22338192594294","190","190","190","52.444033694451036","52.444033694451036","52.444033694451036","190","190","190","56.357281954879525","56.357281954879525","56.357281954879525","190","190","190","50.5601237341607","50.5601237341607","50.5601237341607","190","190","190","49.86125577130817","49.86125577130817","49.86125577130817","190","190","190","41.7319060860181","41.7319060860181","41.7319060860181","190","190","190","53.42897744665489","53.42897744665489","53.42897744665489"
"153600","192","192","192","55.99329487881877","55.99329487881877","55.99329487881877","192","192","192","53.73985701630388","53.73985701630388","53.73985701630388","192","192","192","48.76908654351765","48.76908654351765","48.76908654351765","192","192","192","52.36405713217546","52.36405713217546","52.36405713217546","192","192","192","53.12859572598145","53.12859572598145","53.12859572598145","192","192","192","56.28803328080072","56.28803328080072","56.28803328080072","192","192","192","50.79452999152766","50.79452999152766","50.79452999152766","192","192","192","50.953610584107494","50.953610584107494","50.953610584107494","192","192","192","41.9705770872091","41.9705770872091","41.9705770872091","192","192","192","54.06563924398575","54.06563924398575","54.06563924398575"
"155200","194","194","194","56.58537149464143","56.58537149464143","56.58537149464143","194","194","194","54.26551922007421","54.26551922007421","54.26551922007421","194","194","194","48.99743907990578","48.99743907990578","48.99743907990578","194","194","194","52.571789881619736","52.571789881619736","52.571789881619736","194","194","194","53.361786456679766","53.361786456679766","53.361786456679766","194","194","194","56.8582793368487","56.8582793368487","56.8582793368487","194","194","194","50.7384120339486","50.7384120339486","50.7384120339486","194","194","194","50.502805141884174","50.502805141884174","50.502805141884174","194","194","194","42.08578900296633","42.08578900296633","42.08578900296633","194","194","194","54.30238707687779","54.30238707687779","54.30238707687779"
"156800","196","196","196","56.02422293427176","56.02422293427176","56.02422293427176","196","196","196","54.832694313839944","54.832694313839944","54.832694313839944","196","196","196","48.66239110866835","48.66239110866835","48.66239110866835","196","196","196","53.04482977356412","53.04482977356412","53.04482977356412","196","196","196","53.29457469188504","53.29457469188504","53.29457469188504","196","196","196","58.23712359803633","58.23712359803633","58.23712359803633","196","196","196","50.84957370871497","50.84957370871497","50.84957370871497","196","196","196","51.29132737068313","51.29132737068313","51.29132737068313","196","196","196","42.11776519623127","42.11776519623127","42.11776519623127","196","196","196","53.855682295399674","53.855682295399674","53.855682295399674"
"158400","198","198","198","55.74820086023183","55.74820086023183","55.74820086023183","198","198","198","54.87267204073997","54.87267204073997","54.87267204073997","198","198","198","48.781381063476246","48.781381063476246","48.781381063476246","198","198","198","52.43199540273544","52.43199540273544","52.43199540273544","198","198","198","54.03254269812928","54.03254269812928","54.03254269812928","198","198","198","58.244016005389966","58.244016005389966","58.244016005389966","198","198","198","51.56832316310721","51.56832316310721","51.56832316310721","198","198","198","51.63460855414109","51.63460855414109","51.63460855414109","198","198","198","42.92356165551561","42.92356165551561","42.92356165551561","198","198","198","54.38120725952541","54.38120725952541","54.38120725952541"
"160000","200","200","200","55.61235225060339","55.61235225060339","55.61235225060339","200","200","200","55.14874974041475","55.14874974041475","55.14874974041475","200","200","200","49.279428146540084","49.279428146540084","49.279428146540084","200","200","200","52.638837830180556","52.638837830180556","52.638837830180556","200","200","200","54.48380042470355","54.48380042470355","54.48380042470355","200","200","200","58.582659976912254","58.582659976912254","58.582659976912254","200","200","200","51.59902187436261","51.59902187436261","51.59902187436261","200","200","200","51.68199086270908","51.68199086270908","51.68199086270908","200","200","200","43.61081632298219","43.61081632298219","43.61081632298219","200","200","200","54.67880682655716","54.67880682655716","54.67880682655716"
"161600","202","202","202","55.93278742799813","55.93278742799813","55.93278742799813","202","202","202","55.23236209457065","55.23236209457065","55.23236209457065","202","202","202","49.38743909534041","49.38743909534041","49.38743909534041","202","202","202","53.018228878352794","53.018228878352794","53.018228878352794","202","202","202","54.91921056251239","54.91921056251239","54.91921056251239","202","202","202","58.91401873506884","58.91401873506884","58.91401873506884","202","202","202","52.10203076354941","52.10203076354941","52.10203076354941","202","202","202","52.34249072410047","52.34249072410047","52.34249072410047","202","202","202","44.138418818302085","44.138418818302085","44.138418818302085","202","202","202","54.675428649406804","54.675428649406804","54.675428649406804"
"163200","204","204","204","55.73055417195629","55.73055417195629","55.73055417195629","204","204","204","54.530163266470744","54.530163266470744","54.530163266470744","204","204","204","50.039005949901366","50.039005949901366","50.039005949901366","204","204","204","53.302682468944795","53.302682468944795","53.302682468944795","204","204","204","54.860976882736","54.860976882736","54.860976882736","204","204","204","58.79415564917816","58.79415564917816","58.79415564917816","204","204","204","52.251953996331125","52.251953996331125","52.251953996331125","204","204","204","52.42955938800908","52.42955938800908","52.42955938800908","204","204","204","44.82133991553197","44.82133991553197","44.82133991553197","204","204","204","55.40837732275573","55.40837732275573","55.40837732275573"
"164800","206","206","206","56.11463627418864","56.11463627418864","56.11463627418864","206","206","206","54.303303784080036","54.303303784080036","54.303303784080036","206","206","206","50.35393454072002","50.35393454072002","50.35393454072002","206","206","206","53.07291465698388","53.07291465698388","53.07291465698388","206","206","206","55.61794325556219","55.61794325556219","55.61794325556219","206","206","206","58.7965469324689","58.7965469324689","58.7965469324689","206","206","206","52.29908351465393","52.29908351465393","52.29908351465393","206","206","206","52.93551201579599","52.93551201579599","52.93551201579599","206","206","206","45.52429307913171","45.52429307913171","45.52429307913171","206","206","206","55.043957001413716","55.043957001413716","55.043957001413716"
"166400","208","208","208","55.75771848572725","55.75771848572725","55.75771848572725","208","208","208","53.54837308983255","53.54837308983255","53.54837308983255","208","208","208","51.02429374850479","51.02429374850479","51.02429374850479","208","208","208","53.35496397194642","53.35496397194642","53.35496397194642","208","208","208","56.03497749941387","56.03497749941387","56.03497749941387","208","208","208","58.74801462232598","58.74801462232598","58.74801462232598","208","208","208","51.50520410084982","51.50520410084982","51.50520410084982","208","208","208","52.94297814511021","52.94297814511021","52.94297814511021","208","208","208","46.033948851071344","46.033948851071344","46.033948851071344","208","208","208","55.92806720671807","55.92806720671807","55.92806720671807"
"168000","210","210","210","55.191092884388915","55.191092884388915","55.191092884388915","210","210","210","53.29177168315845","53.29177168315845","53.29177168315845","210","210","210","51.947182192118","51.947182192118","51.947182192118","210","210","210","53.66750149741113","53.66750149741113","53.66750149741113","210","210","210","56.18809535417576","56.18809535417576","56.18809535417576","210","210","210","59.52051029440194","59.52051029440194","59.52051029440194","210","210","210","51.21635501410602","51.21635501410602","51.21635501410602","210","210","210","53.24259583262561","53.24259583262561","53.24259583262561","210","210","210","46.44721253180572","46.44721253180572","46.44721253180572","210","210","210","55.90597668313435","55.90597668313435","55.90597668313435"
