"time_steps","wandering-sweep-4 - _step","wandering-sweep-4 - _step__MIN","wandering-sweep-4 - _step__MAX","wandering-sweep-4 - agent_eval_collision_end_mean","wandering-sweep-4 - agent_eval_collision_end_mean__MIN","wandering-sweep-4 - agent_eval_collision_end_mean__MAX","sweet-sweep-3 - _step","sweet-sweep-3 - _step__MIN","sweet-sweep-3 - _step__MAX","sweet-sweep-3 - agent_eval_collision_end_mean","sweet-sweep-3 - agent_eval_collision_end_mean__MIN","sweet-sweep-3 - agent_eval_collision_end_mean__MAX","lucky-sweep-2 - _step","lucky-sweep-2 - _step__MIN","lucky-sweep-2 - _step__MAX","lucky-sweep-2 - agent_eval_collision_end_mean","lucky-sweep-2 - agent_eval_collision_end_mean__MIN","lucky-sweep-2 - agent_eval_collision_end_mean__MAX","clear-sweep-1 - _step","clear-sweep-1 - _step__MIN","clear-sweep-1 - _step__MAX","clear-sweep-1 - agent_eval_collision_end_mean","clear-sweep-1 - agent_eval_collision_end_mean__MIN","clear-sweep-1 - agent_eval_collision_end_mean__MAX","playful-sweep-10 - _step","playful-sweep-10 - _step__MIN","playful-sweep-10 - _step__MAX","playful-sweep-10 - agent_eval_collision_end_mean","playful-sweep-10 - agent_eval_collision_end_mean__MIN","playful-sweep-10 - agent_eval_collision_end_mean__MAX","fresh-sweep-8 - _step","fresh-sweep-8 - _step__MIN","fresh-sweep-8 - _step__MAX","fresh-sweep-8 - agent_eval_collision_end_mean","fresh-sweep-8 - agent_eval_collision_end_mean__MIN","fresh-sweep-8 - agent_eval_collision_end_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - agent_eval_collision_end_mean","jumping-sweep-5 - agent_eval_collision_end_mean__MIN","jumping-sweep-5 - agent_eval_collision_end_mean__MAX","good-sweep-4 - _step","good-sweep-4 - _step__MIN","good-sweep-4 - _step__MAX","good-sweep-4 - agent_eval_collision_end_mean","good-sweep-4 - agent_eval_collision_end_mean__MIN","good-sweep-4 - agent_eval_collision_end_mean__MAX","sandy-sweep-3 - _step","sandy-sweep-3 - _step__MIN","sandy-sweep-3 - _step__MAX","sandy-sweep-3 - agent_eval_collision_end_mean","sandy-sweep-3 - agent_eval_collision_end_mean__MIN","sandy-sweep-3 - agent_eval_collision_end_mean__MAX","youthful-sweep-1 - _step","youthful-sweep-1 - _step__MIN","youthful-sweep-1 - _step__MAX","youthful-sweep-1 - agent_eval_collision_end_mean","youthful-sweep-1 - agent_eval_collision_end_mean__MIN","youthful-sweep-1 - agent_eval_collision_end_mean__MAX"
"105000","350","350","350","0.6666666666666666","0.6666666666666666","0.6666666666666666","350","350","350","0","0","0","350","350","350","0","0","0","350","350","350","0.3333333333333333","0.3333333333333333","0.3333333333333333","350","350","350","0","0","0","350","350","350","0","0","0","350","350","350","0.3333333333333333","0.3333333333333333","0.3333333333333333","350","350","350","0.3333333333333333","0.3333333333333333","0.3333333333333333","350","350","350","0","0","0","350","350","350","0","0","0"
"106500","355","355","355","0.3333333333333333","0.3333333333333333","0.3333333333333333","355","355","355","0","0","0","355","355","355","0","0","0","355","355","355","0","0","0","355","355","355","0","0","0","355","355","355","0","0","0","355","355","355","0","0","0","355","355","355","0.6666666666666666","0.6666666666666666","0.6666666666666666","355","355","355","0.3333333333333333","0.3333333333333333","0.3333333333333333","355","355","355","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"108000","360","360","360","0","0","0","360","360","360","0","0","0","360","360","360","0.3333333333333333","0.3333333333333333","0.3333333333333333","360","360","360","0","0","0","360","360","360","0","0","0","360","360","360","0.3333333333333333","0.3333333333333333","0.3333333333333333","360","360","360","0","0","0","360","360","360","0","0","0","360","360","360","0","0","0","360","360","360","0","0","0"
"109500","365","365","365","0.6666666666666666","0.6666666666666666","0.6666666666666666","365","365","365","0","0","0","365","365","365","0.3333333333333333","0.3333333333333333","0.3333333333333333","365","365","365","0.3333333333333333","0.3333333333333333","0.3333333333333333","365","365","365","0","0","0","365","365","365","0","0","0","365","365","365","0","0","0","365","365","365","0","0","0","365","365","365","0","0","0","365","365","365","0","0","0"
"111000","370","370","370","0","0","0","370","370","370","0.3333333333333333","0.3333333333333333","0.3333333333333333","370","370","370","0","0","0","370","370","370","0","0","0","370","370","370","0","0","0","370","370","370","0","0","0","370","370","370","0","0","0","370","370","370","0","0","0","370","370","370","0","0","0","370","370","370","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"112500","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0.3333333333333333","0.3333333333333333","0.3333333333333333","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0","0","0","375","375","375","0","0","0"
"114000","380","380","380","0","0","0","380","380","380","0","0","0","380","380","380","0.6666666666666666","0.6666666666666666","0.6666666666666666","380","380","380","0","0","0","380","380","380","0.3333333333333333","0.3333333333333333","0.3333333333333333","380","380","380","0","0","0","380","380","380","0","0","0","380","380","380","0","0","0","380","380","380","0.3333333333333333","0.3333333333333333","0.3333333333333333","380","380","380","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"115500","385","385","385","0.6666666666666666","0.6666666666666666","0.6666666666666666","385","385","385","0","0","0","385","385","385","0","0","0","385","385","385","0","0","0","385","385","385","0","0","0","385","385","385","0","0","0","385","385","385","0.6666666666666666","0.6666666666666666","0.6666666666666666","385","385","385","0","0","0","385","385","385","0.3333333333333333","0.3333333333333333","0.3333333333333333","385","385","385","0","0","0"
"117000","390","390","390","0","0","0","390","390","390","0.3333333333333333","0.3333333333333333","0.3333333333333333","390","390","390","0.3333333333333333","0.3333333333333333","0.3333333333333333","390","390","390","0","0","0","390","390","390","0","0","0","390","390","390","0","0","0","390","390","390","0","0","0","390","390","390","0.3333333333333333","0.3333333333333333","0.3333333333333333","390","390","390","0.3333333333333333","0.3333333333333333","0.3333333333333333","390","390","390","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"118500","395","395","395","0","0","0","395","395","395","0","0","0","395","395","395","0.6666666666666666","0.6666666666666666","0.6666666666666666","395","395","395","0.3333333333333333","0.3333333333333333","0.3333333333333333","395","395","395","0.6666666666666666","0.6666666666666666","0.6666666666666666","395","395","395","0","0","0","395","395","395","0","0","0","395","395","395","0","0","0","395","395","395","0","0","0","395","395","395","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"120000","400","400","400","0","0","0","400","400","400","0","0","0","400","400","400","0.3333333333333333","0.3333333333333333","0.3333333333333333","400","400","400","0","0","0","400","400","400","0","0","0","400","400","400","0","0","0","400","400","400","0","0","0","400","400","400","0.3333333333333333","0.3333333333333333","0.3333333333333333","400","400","400","0","0","0","400","400","400","0","0","0"
"121500","405","405","405","0.3333333333333333","0.3333333333333333","0.3333333333333333","405","405","405","0","0","0","405","405","405","0.3333333333333333","0.3333333333333333","0.3333333333333333","405","405","405","0.3333333333333333","0.3333333333333333","0.3333333333333333","405","405","405","0","0","0","405","405","405","0","0","0","405","405","405","0","0","0","405","405","405","0.3333333333333333","0.3333333333333333","0.3333333333333333","405","405","405","0","0","0","405","405","405","0","0","0"
"123000","410","410","410","0","0","0","410","410","410","0","0","0","410","410","410","0.3333333333333333","0.3333333333333333","0.3333333333333333","410","410","410","0","0","0","410","410","410","0","0","0","410","410","410","0","0","0","410","410","410","0","0","0","410","410","410","0.3333333333333333","0.3333333333333333","0.3333333333333333","410","410","410","0","0","0","410","410","410","0","0","0"
"124500","415","415","415","0","0","0","415","415","415","0","0","0","415","415","415","0","0","0","415","415","415","0","0","0","415","415","415","0","0","0","415","415","415","0.3333333333333333","0.3333333333333333","0.3333333333333333","415","415","415","0","0","0","415","415","415","0","0","0","415","415","415","0.3333333333333333","0.3333333333333333","0.3333333333333333","415","415","415","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"126000","420","420","420","0","0","0","420","420","420","0","0","0","420","420","420","0.6666666666666666","0.6666666666666666","0.6666666666666666","420","420","420","0","0","0","420","420","420","0","0","0","420","420","420","0.3333333333333333","0.3333333333333333","0.3333333333333333","420","420","420","0","0","0","420","420","420","0","0","0","420","420","420","0.3333333333333333","0.3333333333333333","0.3333333333333333","420","420","420","0","0","0"
"127500","425","425","425","0","0","0","425","425","425","0","0","0","425","425","425","0.6666666666666666","0.6666666666666666","0.6666666666666666","425","425","425","0.3333333333333333","0.3333333333333333","0.3333333333333333","425","425","425","0","0","0","425","425","425","0.3333333333333333","0.3333333333333333","0.3333333333333333","425","425","425","0.3333333333333333","0.3333333333333333","0.3333333333333333","425","425","425","0.3333333333333333","0.3333333333333333","0.3333333333333333","425","425","425","0","0","0","425","425","425","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"129000","430","430","430","0","0","0","430","430","430","0.3333333333333333","0.3333333333333333","0.3333333333333333","430","430","430","0","0","0","430","430","430","0","0","0","430","430","430","0","0","0","430","430","430","0","0","0","430","430","430","0","0","0","430","430","430","0.6666666666666666","0.6666666666666666","0.6666666666666666","430","430","430","0.3333333333333333","0.3333333333333333","0.3333333333333333","430","430","430","0","0","0"
"130500","435","435","435","0","0","0","435","435","435","0","0","0","435","435","435","0.3333333333333333","0.3333333333333333","0.3333333333333333","435","435","435","0.3333333333333333","0.3333333333333333","0.3333333333333333","435","435","435","0","0","0","435","435","435","0","0","0","435","435","435","0","0","0","435","435","435","0","0","0","435","435","435","0.6666666666666666","0.6666666666666666","0.6666666666666666","435","435","435","0","0","0"
"132000","440","440","440","0","0","0","440","440","440","0","0","0","440","440","440","0","0","0","440","440","440","0","0","0","440","440","440","0","0","0","440","440","440","0","0","0","440","440","440","0","0","0","440","440","440","0.3333333333333333","0.3333333333333333","0.3333333333333333","440","440","440","0","0","0","440","440","440","0","0","0"
"133500","445","445","445","0","0","0","445","445","445","0.6666666666666666","0.6666666666666666","0.6666666666666666","445","445","445","0.3333333333333333","0.3333333333333333","0.3333333333333333","445","445","445","0.3333333333333333","0.3333333333333333","0.3333333333333333","445","445","445","0","0","0","445","445","445","0","0","0","445","445","445","0.6666666666666666","0.6666666666666666","0.6666666666666666","445","445","445","0","0","0","445","445","445","0","0","0","445","445","445","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"135000","450","450","450","0","0","0","450","450","450","0","0","0","450","450","450","0","0","0","450","450","450","0","0","0","450","450","450","0","0","0","450","450","450","0.3333333333333333","0.3333333333333333","0.3333333333333333","450","450","450","0","0","0","450","450","450","0","0","0","450","450","450","0","0","0","450","450","450","0","0","0"
"136500","455","455","455","0","0","0","455","455","455","0","0","0","455","455","455","0","0","0","455","455","455","0","0","0","455","455","455","0","0","0","455","455","455","0","0","0","455","455","455","0.3333333333333333","0.3333333333333333","0.3333333333333333","455","455","455","0.3333333333333333","0.3333333333333333","0.3333333333333333","455","455","455","0.3333333333333333","0.3333333333333333","0.3333333333333333","455","455","455","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"138000","460","460","460","0.3333333333333333","0.3333333333333333","0.3333333333333333","460","460","460","0","0","0","460","460","460","0","0","0","460","460","460","0.3333333333333333","0.3333333333333333","0.3333333333333333","460","460","460","0","0","0","460","460","460","0","0","0","460","460","460","1","1","1","460","460","460","0.3333333333333333","0.3333333333333333","0.3333333333333333","460","460","460","0","0","0","460","460","460","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"139500","465","465","465","0.6666666666666666","0.6666666666666666","0.6666666666666666","465","465","465","0.3333333333333333","0.3333333333333333","0.3333333333333333","465","465","465","0","0","0","465","465","465","0.3333333333333333","0.3333333333333333","0.3333333333333333","465","465","465","0","0","0","465","465","465","0.3333333333333333","0.3333333333333333","0.3333333333333333","465","465","465","0.3333333333333333","0.3333333333333333","0.3333333333333333","465","465","465","0","0","0","465","465","465","0.3333333333333333","0.3333333333333333","0.3333333333333333","465","465","465","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"141000","470","470","470","0","0","0","470","470","470","0.6666666666666666","0.6666666666666666","0.6666666666666666","470","470","470","0","0","0","470","470","470","0","0","0","470","470","470","0","0","0","470","470","470","0","0","0","470","470","470","0","0","0","470","470","470","0","0","0","470","470","470","0.3333333333333333","0.3333333333333333","0.3333333333333333","470","470","470","0","0","0"
"142500","475","475","475","0","0","0","475","475","475","0.3333333333333333","0.3333333333333333","0.3333333333333333","475","475","475","0","0","0","475","475","475","0.3333333333333333","0.3333333333333333","0.3333333333333333","475","475","475","0","0","0","475","475","475","0.3333333333333333","0.3333333333333333","0.3333333333333333","475","475","475","0.6666666666666666","0.6666666666666666","0.6666666666666666","475","475","475","0.6666666666666666","0.6666666666666666","0.6666666666666666","475","475","475","0.3333333333333333","0.3333333333333333","0.3333333333333333","475","475","475","0","0","0"
"144000","480","480","480","0.3333333333333333","0.3333333333333333","0.3333333333333333","480","480","480","0","0","0","480","480","480","0","0","0","480","480","480","0.3333333333333333","0.3333333333333333","0.3333333333333333","480","480","480","0","0","0","480","480","480","0","0","0","480","480","480","0.3333333333333333","0.3333333333333333","0.3333333333333333","480","480","480","0.3333333333333333","0.3333333333333333","0.3333333333333333","480","480","480","0.3333333333333333","0.3333333333333333","0.3333333333333333","480","480","480","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"145500","485","485","485","0.3333333333333333","0.3333333333333333","0.3333333333333333","485","485","485","0.3333333333333333","0.3333333333333333","0.3333333333333333","485","485","485","0","0","0","485","485","485","0","0","0","485","485","485","0.3333333333333333","0.3333333333333333","0.3333333333333333","485","485","485","0.3333333333333333","0.3333333333333333","0.3333333333333333","485","485","485","0.3333333333333333","0.3333333333333333","0.3333333333333333","485","485","485","0.3333333333333333","0.3333333333333333","0.3333333333333333","485","485","485","0.3333333333333333","0.3333333333333333","0.3333333333333333","485","485","485","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"147000","490","490","490","1","1","1","490","490","490","0","0","0","490","490","490","0","0","0","490","490","490","0","0","0","490","490","490","0.6666666666666666","0.6666666666666666","0.6666666666666666","490","490","490","0","0","0","490","490","490","0","0","0","490","490","490","0","0","0","490","490","490","0","0","0","490","490","490","0","0","0"
"148500","495","495","495","0.3333333333333333","0.3333333333333333","0.3333333333333333","495","495","495","0","0","0","495","495","495","0","0","0","495","495","495","0","0","0","495","495","495","0.3333333333333333","0.3333333333333333","0.3333333333333333","495","495","495","0","0","0","495","495","495","0.3333333333333333","0.3333333333333333","0.3333333333333333","495","495","495","0.3333333333333333","0.3333333333333333","0.3333333333333333","495","495","495","0.3333333333333333","0.3333333333333333","0.3333333333333333","495","495","495","0","0","0"
"150000","500","500","500","0.3333333333333333","0.3333333333333333","0.3333333333333333","500","500","500","0.3333333333333333","0.3333333333333333","0.3333333333333333","500","500","500","0","0","0","500","500","500","0.3333333333333333","0.3333333333333333","0.3333333333333333","500","500","500","0","0","0","500","500","500","0","0","0","500","500","500","1","1","1","500","500","500","0","0","0","500","500","500","0.3333333333333333","0.3333333333333333","0.3333333333333333","500","500","500","0","0","0"
"151500","505","505","505","0","0","0","505","505","505","0","0","0","505","505","505","0.3333333333333333","0.3333333333333333","0.3333333333333333","505","505","505","0","0","0","505","505","505","0","0","0","505","505","505","0.3333333333333333","0.3333333333333333","0.3333333333333333","505","505","505","0.3333333333333333","0.3333333333333333","0.3333333333333333","505","505","505","0.3333333333333333","0.3333333333333333","0.3333333333333333","505","505","505","0.3333333333333333","0.3333333333333333","0.3333333333333333","505","505","505","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"153000","510","510","510","0","0","0","510","510","510","0","0","0","510","510","510","0.6666666666666666","0.6666666666666666","0.6666666666666666","510","510","510","0","0","0","510","510","510","0.3333333333333333","0.3333333333333333","0.3333333333333333","510","510","510","0","0","0","510","510","510","0.3333333333333333","0.3333333333333333","0.3333333333333333","510","510","510","0.3333333333333333","0.3333333333333333","0.3333333333333333","510","510","510","0.3333333333333333","0.3333333333333333","0.3333333333333333","510","510","510","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"154500","515","515","515","0.3333333333333333","0.3333333333333333","0.3333333333333333","515","515","515","0","0","0","515","515","515","0","0","0","515","515","515","0.3333333333333333","0.3333333333333333","0.3333333333333333","515","515","515","0.3333333333333333","0.3333333333333333","0.3333333333333333","515","515","515","0","0","0","515","515","515","0","0","0","515","515","515","0","0","0","515","515","515","0.3333333333333333","0.3333333333333333","0.3333333333333333","515","515","515","0","0","0"
"156000","520","520","520","0","0","0","520","520","520","0.3333333333333333","0.3333333333333333","0.3333333333333333","520","520","520","0","0","0","520","520","520","0.3333333333333333","0.3333333333333333","0.3333333333333333","520","520","520","0","0","0","520","520","520","0.3333333333333333","0.3333333333333333","0.3333333333333333","520","520","520","0.3333333333333333","0.3333333333333333","0.3333333333333333","520","520","520","0.3333333333333333","0.3333333333333333","0.3333333333333333","520","520","520","0.3333333333333333","0.3333333333333333","0.3333333333333333","520","520","520","0","0","0"
"157500","525","525","525","0.3333333333333333","0.3333333333333333","0.3333333333333333","525","525","525","0.3333333333333333","0.3333333333333333","0.3333333333333333","525","525","525","0","0","0","525","525","525","0.6666666666666666","0.6666666666666666","0.6666666666666666","525","525","525","0","0","0","525","525","525","0.3333333333333333","0.3333333333333333","0.3333333333333333","525","525","525","0","0","0","525","525","525","0.6666666666666666","0.6666666666666666","0.6666666666666666","525","525","525","0","0","0","525","525","525","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"159000","530","530","530","0.3333333333333333","0.3333333333333333","0.3333333333333333","530","530","530","0","0","0","530","530","530","0","0","0","530","530","530","0","0","0","530","530","530","0","0","0","530","530","530","0.3333333333333333","0.3333333333333333","0.3333333333333333","530","530","530","0","0","0","530","530","530","0","0","0","530","530","530","0","0","0","530","530","530","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"160500","535","535","535","0.3333333333333333","0.3333333333333333","0.3333333333333333","535","535","535","0","0","0","535","535","535","0.3333333333333333","0.3333333333333333","0.3333333333333333","535","535","535","0.3333333333333333","0.3333333333333333","0.3333333333333333","535","535","535","0.3333333333333333","0.3333333333333333","0.3333333333333333","535","535","535","0","0","0","535","535","535","0.3333333333333333","0.3333333333333333","0.3333333333333333","535","535","535","0","0","0","535","535","535","0","0","0","535","535","535","0","0","0"
"162000","540","540","540","0","0","0","540","540","540","0","0","0","540","540","540","0.3333333333333333","0.3333333333333333","0.3333333333333333","540","540","540","0","0","0","540","540","540","0.3333333333333333","0.3333333333333333","0.3333333333333333","540","540","540","0","0","0","540","540","540","0.3333333333333333","0.3333333333333333","0.3333333333333333","540","540","540","0","0","0","540","540","540","0","0","0","540","540","540","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"163500","545","545","545","0","0","0","545","545","545","0","0","0","545","545","545","0.3333333333333333","0.3333333333333333","0.3333333333333333","545","545","545","0","0","0","545","545","545","0","0","0","545","545","545","0","0","0","545","545","545","0","0","0","545","545","545","0.3333333333333333","0.3333333333333333","0.3333333333333333","545","545","545","0.3333333333333333","0.3333333333333333","0.3333333333333333","545","545","545","0","0","0"
"165000","550","550","550","0","0","0","550","550","550","0","0","0","550","550","550","0","0","0","550","550","550","0.3333333333333333","0.3333333333333333","0.3333333333333333","550","550","550","0","0","0","550","550","550","0","0","0","550","550","550","0","0","0","550","550","550","0.3333333333333333","0.3333333333333333","0.3333333333333333","550","550","550","0.3333333333333333","0.3333333333333333","0.3333333333333333","550","550","550","0","0","0"
"166500","555","555","555","0.3333333333333333","0.3333333333333333","0.3333333333333333","555","555","555","0","0","0","555","555","555","0","0","0","555","555","555","0","0","0","555","555","555","0.3333333333333333","0.3333333333333333","0.3333333333333333","555","555","555","0.3333333333333333","0.3333333333333333","0.3333333333333333","555","555","555","0","0","0","555","555","555","0","0","0","555","555","555","0","0","0","555","555","555","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"168000","560","560","560","0","0","0","560","560","560","0","0","0","560","560","560","0","0","0","560","560","560","0","0","0","560","560","560","0","0","0","560","560","560","0.3333333333333333","0.3333333333333333","0.3333333333333333","560","560","560","0.3333333333333333","0.3333333333333333","0.3333333333333333","560","560","560","0","0","0","560","560","560","0.3333333333333333","0.3333333333333333","0.3333333333333333","560","560","560","1","1","1"
"169500","565","565","565","0.6666666666666666","0.6666666666666666","0.6666666666666666","565","565","565","0","0","0","565","565","565","0","0","0","565","565","565","0","0","0","565","565","565","0.3333333333333333","0.3333333333333333","0.3333333333333333","565","565","565","0","0","0","565","565","565","0","0","0","565","565","565","0.3333333333333333","0.3333333333333333","0.3333333333333333","565","565","565","0.6666666666666666","0.6666666666666666","0.6666666666666666","565","565","565","0","0","0"
"171000","570","570","570","0","0","0","570","570","570","0","0","0","570","570","570","0","0","0","570","570","570","0","0","0","570","570","570","0","0","0","570","570","570","0.3333333333333333","0.3333333333333333","0.3333333333333333","570","570","570","0.3333333333333333","0.3333333333333333","0.3333333333333333","570","570","570","0","0","0","570","570","570","0","0","0","570","570","570","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"172500","575","575","575","0","0","0","575","575","575","0","0","0","575","575","575","0.3333333333333333","0.3333333333333333","0.3333333333333333","575","575","575","0","0","0","575","575","575","0","0","0","575","575","575","0.3333333333333333","0.3333333333333333","0.3333333333333333","575","575","575","0.6666666666666666","0.6666666666666666","0.6666666666666666","575","575","575","0.3333333333333333","0.3333333333333333","0.3333333333333333","575","575","575","0","0","0","575","575","575","0","0","0"
"174000","580","580","580","0","0","0","580","580","580","0","0","0","580","580","580","0","0","0","580","580","580","0","0","0","580","580","580","0","0","0","580","580","580","0.6666666666666666","0.6666666666666666","0.6666666666666666","580","580","580","0","0","0","580","580","580","0.3333333333333333","0.3333333333333333","0.3333333333333333","580","580","580","0.6666666666666666","0.6666666666666666","0.6666666666666666","580","580","580","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"175500","585","585","585","0.3333333333333333","0.3333333333333333","0.3333333333333333","585","585","585","0","0","0","585","585","585","0.3333333333333333","0.3333333333333333","0.3333333333333333","585","585","585","0.3333333333333333","0.3333333333333333","0.3333333333333333","585","585","585","0.3333333333333333","0.3333333333333333","0.3333333333333333","585","585","585","0.6666666666666666","0.6666666666666666","0.6666666666666666","585","585","585","0.3333333333333333","0.3333333333333333","0.3333333333333333","585","585","585","0","0","0","585","585","585","0.3333333333333333","0.3333333333333333","0.3333333333333333","585","585","585","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"177000","590","590","590","0.3333333333333333","0.3333333333333333","0.3333333333333333","590","590","590","0","0","0","590","590","590","0.3333333333333333","0.3333333333333333","0.3333333333333333","590","590","590","0.6666666666666666","0.6666666666666666","0.6666666666666666","590","590","590","0.3333333333333333","0.3333333333333333","0.3333333333333333","590","590","590","0.3333333333333333","0.3333333333333333","0.3333333333333333","590","590","590","0.3333333333333333","0.3333333333333333","0.3333333333333333","590","590","590","0","0","0","590","590","590","0","0","0","590","590","590","0","0","0"
"178500","595","595","595","0","0","0","595","595","595","0","0","0","595","595","595","0.3333333333333333","0.3333333333333333","0.3333333333333333","595","595","595","0.3333333333333333","0.3333333333333333","0.3333333333333333","595","595","595","0","0","0","595","595","595","0","0","0","595","595","595","0","0","0","595","595","595","1","1","1","595","595","595","1","1","1","595","595","595","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"180000","600","600","600","0","0","0","600","600","600","0.3333333333333333","0.3333333333333333","0.3333333333333333","600","600","600","0","0","0","600","600","600","0.6666666666666666","0.6666666666666666","0.6666666666666666","600","600","600","0","0","0","600","600","600","0","0","0","600","600","600","0.3333333333333333","0.3333333333333333","0.3333333333333333","600","600","600","0.3333333333333333","0.3333333333333333","0.3333333333333333","600","600","600","0.3333333333333333","0.3333333333333333","0.3333333333333333","600","600","600","0","0","0"
"181500","605","605","605","0.3333333333333333","0.3333333333333333","0.3333333333333333","605","605","605","0","0","0","605","605","605","0","0","0","605","605","605","0.3333333333333333","0.3333333333333333","0.3333333333333333","605","605","605","0","0","0","605","605","605","0","0","0","605","605","605","0.3333333333333333","0.3333333333333333","0.3333333333333333","605","605","605","0.3333333333333333","0.3333333333333333","0.3333333333333333","605","605","605","0.3333333333333333","0.3333333333333333","0.3333333333333333","605","605","605","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"183000","610","610","610","0.6666666666666666","0.6666666666666666","0.6666666666666666","610","610","610","0.6666666666666666","0.6666666666666666","0.6666666666666666","610","610","610","0","0","0","610","610","610","0","0","0","610","610","610","0.3333333333333333","0.3333333333333333","0.3333333333333333","610","610","610","0.6666666666666666","0.6666666666666666","0.6666666666666666","610","610","610","0","0","0","610","610","610","0","0","0","610","610","610","0.3333333333333333","0.3333333333333333","0.3333333333333333","610","610","610","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"184500","615","615","615","0","0","0","615","615","615","0.3333333333333333","0.3333333333333333","0.3333333333333333","615","615","615","0","0","0","615","615","615","0.3333333333333333","0.3333333333333333","0.3333333333333333","615","615","615","0","0","0","615","615","615","0.3333333333333333","0.3333333333333333","0.3333333333333333","615","615","615","0","0","0","615","615","615","0","0","0","615","615","615","0.3333333333333333","0.3333333333333333","0.3333333333333333","615","615","615","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"186000","620","620","620","0.3333333333333333","0.3333333333333333","0.3333333333333333","620","620","620","0","0","0","620","620","620","0","0","0","620","620","620","0","0","0","620","620","620","0","0","0","620","620","620","0","0","0","620","620","620","0.3333333333333333","0.3333333333333333","0.3333333333333333","620","620","620","0.3333333333333333","0.3333333333333333","0.3333333333333333","620","620","620","0.6666666666666666","0.6666666666666666","0.6666666666666666","620","620","620","0","0","0"
"187500","625","625","625","0.3333333333333333","0.3333333333333333","0.3333333333333333","625","625","625","0","0","0","625","625","625","0.3333333333333333","0.3333333333333333","0.3333333333333333","625","625","625","0.6666666666666666","0.6666666666666666","0.6666666666666666","625","625","625","0","0","0","625","625","625","0","0","0","625","625","625","0.6666666666666666","0.6666666666666666","0.6666666666666666","625","625","625","0","0","0","625","625","625","0.6666666666666666","0.6666666666666666","0.6666666666666666","625","625","625","0","0","0"
"189000","630","630","630","0.3333333333333333","0.3333333333333333","0.3333333333333333","630","630","630","0.3333333333333333","0.3333333333333333","0.3333333333333333","630","630","630","0","0","0","630","630","630","0.3333333333333333","0.3333333333333333","0.3333333333333333","630","630","630","0","0","0","630","630","630","0","0","0","630","630","630","0.3333333333333333","0.3333333333333333","0.3333333333333333","630","630","630","0","0","0","630","630","630","0","0","0","630","630","630","0","0","0"
"190500","635","635","635","0.3333333333333333","0.3333333333333333","0.3333333333333333","635","635","635","0.3333333333333333","0.3333333333333333","0.3333333333333333","635","635","635","0.3333333333333333","0.3333333333333333","0.3333333333333333","635","635","635","0.3333333333333333","0.3333333333333333","0.3333333333333333","635","635","635","0","0","0","635","635","635","0","0","0","635","635","635","0","0","0","635","635","635","0.6666666666666666","0.6666666666666666","0.6666666666666666","635","635","635","1","1","1","635","635","635","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"192000","640","640","640","0.3333333333333333","0.3333333333333333","0.3333333333333333","640","640","640","0.3333333333333333","0.3333333333333333","0.3333333333333333","640","640","640","0.3333333333333333","0.3333333333333333","0.3333333333333333","640","640","640","0","0","0","640","640","640","0","0","0","640","640","640","0.3333333333333333","0.3333333333333333","0.3333333333333333","640","640","640","0","0","0","640","640","640","1","1","1","640","640","640","0.3333333333333333","0.3333333333333333","0.3333333333333333","640","640","640","0.6666666666666666","0.6666666666666666","0.6666666666666666"
