"time_steps","silvery-sweep-6 - _step","silvery-sweep-6 - _step__MIN","silvery-sweep-6 - _step__MAX","silvery-sweep-6 - collision_end_mean","silvery-sweep-6 - collision_end_mean__MIN","silvery-sweep-6 - collision_end_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - collision_end_mean","jumping-sweep-5 - collision_end_mean__MIN","jumping-sweep-5 - collision_end_mean__MAX","zany-sweep-4 - _step","zany-sweep-4 - _step__MIN","zany-sweep-4 - _step__MAX","zany-sweep-4 - collision_end_mean","zany-sweep-4 - collision_end_mean__MIN","zany-sweep-4 - collision_end_mean__MAX","visionary-sweep-3 - _step","visionary-sweep-3 - _step__MIN","visionary-sweep-3 - _step__MAX","visionary-sweep-3 - collision_end_mean","visionary-sweep-3 - collision_end_mean__MIN","visionary-sweep-3 - collision_end_mean__MAX","wandering-sweep-2 - _step","wandering-sweep-2 - _step__MIN","wandering-sweep-2 - _step__MAX","wandering-sweep-2 - collision_end_mean","wandering-sweep-2 - collision_end_mean__MIN","wandering-sweep-2 - collision_end_mean__MAX","eager-sweep-5 - _step","eager-sweep-5 - _step__MIN","eager-sweep-5 - _step__MAX","eager-sweep-5 - collision_end_mean","eager-sweep-5 - collision_end_mean__MIN","eager-sweep-5 - collision_end_mean__MAX","wild-sweep-3 - _step","wild-sweep-3 - _step__MIN","wild-sweep-3 - _step__MAX","wild-sweep-3 - collision_end_mean","wild-sweep-3 - collision_end_mean__MIN","wild-sweep-3 - collision_end_mean__MAX","blooming-sweep-4 - _step","blooming-sweep-4 - _step__MIN","blooming-sweep-4 - _step__MAX","blooming-sweep-4 - collision_end_mean","blooming-sweep-4 - collision_end_mean__MIN","blooming-sweep-4 - collision_end_mean__MAX","worldly-sweep-2 - _step","worldly-sweep-2 - _step__MIN","worldly-sweep-2 - _step__MAX","worldly-sweep-2 - collision_end_mean","worldly-sweep-2 - collision_end_mean__MIN","worldly-sweep-2 - collision_end_mean__MAX","eager-sweep-1 - _step","eager-sweep-1 - _step__MIN","eager-sweep-1 - _step__MAX","eager-sweep-1 - collision_end_mean","eager-sweep-1 - collision_end_mean__MIN","eager-sweep-1 - collision_end_mean__MAX"
"90500","4500","4500","4500","0","0","0","4500","4500","4500","0","0","0","4500","4500","4500","0.08","0.08","0.08","4500","4500","4500","0","0","0","4500","4500","4500","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91000","4525","4525","4525","0","0","0","4525","4525","4525","0","0","0","4525","4525","4525","0","0","0","4525","4525","4525","0","0","0","4525","4525","4525","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91500","4550","4550","4550","0","0","0","4550","4550","4550","0","0","0","4550","4550","4550","0","0","0","4550","4550","4550","0","0","0","4550","4550","4550","0","0","0","1500","1500","1500","0","0","0","1500","1500","1500","0","0","0","1500","1500","1500","0","0","0","1500","1500","1500","0","0","0","1500","1500","1500","0","0","0"
"92000","4575","4575","4575","0","0","0","4575","4575","4575","0","0","0","4575","4575","4575","0","0","0","4575","4575","4575","0","0","0","4575","4575","4575","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92500","4600","4600","4600","0","0","0","4600","4600","4600","0","0","0","4600","4600","4600","0","0","0","4600","4600","4600","0","0","0","4600","4600","4600","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93000","4625","4625","4625","0","0","0","4625","4625","4625","0","0","0","4625","4625","4625","0","0","0","4625","4625","4625","0","0","0","4625","4625","4625","0","0","0","1525","1525","1525","0","0","0","1525","1525","1525","0","0","0","1525","1525","1525","0","0","0","1525","1525","1525","0","0","0","1525","1525","1525","0","0","0"
"93500","4650","4650","4650","0","0","0","4650","4650","4650","0","0","0","4650","4650","4650","0","0","0","4650","4650","4650","0.04","0.04","0.04","4650","4650","4650","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94000","4675","4675","4675","0","0","0","4675","4675","4675","0","0","0","4675","4675","4675","0","0","0","4675","4675","4675","0.04","0.04","0.04","4675","4675","4675","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94500","4700","4700","4700","0","0","0","4700","4700","4700","0","0","0","4700","4700","4700","0","0","0","4700","4700","4700","0.04","0.04","0.04","4700","4700","4700","0","0","0","1550","1550","1550","0","0","0","1550","1550","1550","0","0","0","1550","1550","1550","0","0","0","1550","1550","1550","0","0","0","1550","1550","1550","0","0","0"
"95000","4725","4725","4725","0","0","0","4725","4725","4725","0","0","0","4725","4725","4725","0","0","0","4725","4725","4725","0","0","0","4725","4725","4725","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95500","4750","4750","4750","0","0","0","4750","4750","4750","0","0","0","4750","4750","4750","0","0","0","4750","4750","4750","0","0","0","4750","4750","4750","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96000","4775","4775","4775","0","0","0","4775","4775","4775","0","0","0","4775","4775","4775","0","0","0","4775","4775","4775","0","0","0","4775","4775","4775","0","0","0","1575","1575","1575","0","0","0","1575","1575","1575","0","0","0","1575","1575","1575","0","0","0","1575","1575","1575","0","0","0","1575","1575","1575","0","0","0"
"96500","4800","4800","4800","0","0","0","4800","4800","4800","0","0","0","4800","4800","4800","0","0","0","4800","4800","4800","0","0","0","4800","4800","4800","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97000","4825","4825","4825","0","0","0","4825","4825","4825","0","0","0","4825","4825","4825","0","0","0","4825","4825","4825","0","0","0","4825","4825","4825","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97500","4850","4850","4850","0","0","0","4850","4850","4850","0","0","0","4850","4850","4850","0","0","0","4850","4850","4850","0","0","0","4850","4850","4850","0","0","0","1600","1600","1600","0","0","0","1600","1600","1600","0","0","0","1600","1600","1600","0","0","0","1600","1600","1600","0","0","0","1600","1600","1600","0","0","0"
"98000","4875","4875","4875","0","0","0","4875","4875","4875","0","0","0","4875","4875","4875","0","0","0","4875","4875","4875","0","0","0","4875","4875","4875","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98500","4900","4900","4900","0","0","0","4900","4900","4900","0","0","0","4900","4900","4900","0","0","0","4900","4900","4900","0","0","0","4900","4900","4900","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99000","4925","4925","4925","0","0","0","4925","4925","4925","0","0","0","4925","4925","4925","0","0","0","4925","4925","4925","0","0","0","4925","4925","4925","0","0","0","1625","1625","1625","0","0","0","1625","1625","1625","0","0","0","1625","1625","1625","0","0","0","1625","1625","1625","0","0","0","1625","1625","1625","0","0","0"
"99500","4950","4950","4950","0","0","0","4950","4950","4950","0","0","0","4950","4950","4950","0","0","0","4950","4950","4950","0","0","0","4950","4950","4950","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100000","4975","4975","4975","0","0","0","4975","4975","4975","0","0","0","4975","4975","4975","0","0","0","4975","4975","4975","0","0","0","4975","4975","4975","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100500","5000","5000","5000","0","0","0","5000","5000","5000","0","0","0","5000","5000","5000","0","0","0","5000","5000","5000","0","0","0","5000","5000","5000","0","0","0","1650","1650","1650","0","0","0","1650","1650","1650","0","0","0","1650","1650","1650","0","0","0","1650","1650","1650","0","0","0","1650","1650","1650","0","0","0"
"101000","5025","5025","5025","0","0","0","5025","5025","5025","0","0","0","5025","5025","5025","0","0","0","5025","5025","5025","0","0","0","5025","5025","5025","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101500","5050","5050","5050","0","0","0","5050","5050","5050","0","0","0","5050","5050","5050","0","0","0","5050","5050","5050","0","0","0","5050","5050","5050","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102000","5075","5075","5075","0","0","0","5075","5075","5075","0","0","0","5075","5075","5075","0","0","0","5075","5075","5075","0.08","0.08","0.08","5075","5075","5075","0","0","0","1675","1675","1675","0","0","0","1675","1675","1675","0","0","0","1675","1675","1675","0","0","0","1675","1675","1675","0","0","0","1675","1675","1675","0.08","0.08","0.08"
"102500","5100","5100","5100","0","0","0","5100","5100","5100","0","0","0","5100","5100","5100","0","0","0","5100","5100","5100","0.08","0.08","0.08","5100","5100","5100","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103000","5125","5125","5125","0","0","0","5125","5125","5125","0","0","0","5125","5125","5125","0","0","0","5125","5125","5125","0.04","0.04","0.04","5125","5125","5125","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103500","5150","5150","5150","0","0","0","5150","5150","5150","0","0","0","5150","5150","5150","0","0","0","5150","5150","5150","0","0","0","5150","5150","5150","0","0","0","1700","1700","1700","0","0","0","1700","1700","1700","0","0","0","1700","1700","1700","0","0","0","1700","1700","1700","0","0","0","1700","1700","1700","0","0","0"
"104000","5175","5175","5175","0","0","0","5175","5175","5175","0","0","0","5175","5175","5175","0","0","0","5175","5175","5175","0","0","0","5175","5175","5175","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104500","5200","5200","5200","0","0","0","5200","5200","5200","0","0","0","5200","5200","5200","0","0","0","5200","5200","5200","0","0","0","5200","5200","5200","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105000","5225","5225","5225","0","0","0","5225","5225","5225","0","0","0","5225","5225","5225","0","0","0","5225","5225","5225","0","0","0","5225","5225","5225","0","0","0","1725","1725","1725","0","0","0","1725","1725","1725","0","0","0","1725","1725","1725","0","0","0","1725","1725","1725","0","0","0","1725","1725","1725","0","0","0"
"105500","5250","5250","5250","0","0","0","5250","5250","5250","0","0","0","5250","5250","5250","0","0","0","5250","5250","5250","0","0","0","5250","5250","5250","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106000","5275","5275","5275","0","0","0","5275","5275","5275","0","0","0","5275","5275","5275","0","0","0","5275","5275","5275","0","0","0","5275","5275","5275","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106500","5300","5300","5300","0","0","0","5300","5300","5300","0","0","0","5300","5300","5300","0","0","0","5300","5300","5300","0","0","0","5300","5300","5300","0","0","0","1750","1750","1750","0","0","0","1750","1750","1750","0","0","0","1750","1750","1750","0","0","0","1750","1750","1750","0.04","0.04","0.04","1750","1750","1750","0","0","0"
"107000","5325","5325","5325","0","0","0","5325","5325","5325","0","0","0","5325","5325","5325","0","0","0","5325","5325","5325","0","0","0","5325","5325","5325","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"107500","5350","5350","5350","0","0","0","5350","5350","5350","0","0","0","5350","5350","5350","0","0","0","5350","5350","5350","0","0","0","5350","5350","5350","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"108000","5375","5375","5375","0","0","0","5375","5375","5375","0","0","0","5375","5375","5375","0","0","0","5375","5375","5375","0","0","0","5375","5375","5375","0","0","0","1775","1775","1775","0","0","0","1775","1775","1775","0","0","0","1775","1775","1775","0","0","0","1775","1775","1775","0","0","0","1775","1775","1775","0","0","0"
"108500","5400","5400","5400","0","0","0","5400","5400","5400","0","0","0","5400","5400","5400","0","0","0","5400","5400","5400","0","0","0","5400","5400","5400","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109000","5425","5425","5425","0","0","0","5425","5425","5425","0","0","0","5425","5425","5425","0","0","0","5425","5425","5425","0","0","0","5425","5425","5425","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109500","5450","5450","5450","0.04","0.04","0.04","5450","5450","5450","0","0","0","5450","5450","5450","0","0","0","5450","5450","5450","0","0","0","5450","5450","5450","0","0","0","1800","1800","1800","0","0","0","1800","1800","1800","0","0","0","1800","1800","1800","0","0","0","1800","1800","1800","0","0","0","1800","1800","1800","0","0","0"
"110000","5475","5475","5475","0.04","0.04","0.04","5475","5475","5475","0","0","0","5475","5475","5475","0","0","0","5475","5475","5475","0","0","0","5475","5475","5475","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110500","5500","5500","5500","0.04","0.04","0.04","5500","5500","5500","0","0","0","5500","5500","5500","0","0","0","5500","5500","5500","0","0","0","5500","5500","5500","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"111000","5525","5525","5525","0","0","0","5525","5525","5525","0","0","0","5525","5525","5525","0","0","0","5525","5525","5525","0","0","0","5525","5525","5525","0","0","0","1825","1825","1825","0","0","0","1825","1825","1825","0","0","0","1825","1825","1825","0","0","0","1825","1825","1825","0","0","0","1825","1825","1825","0","0","0"
"111500","5550","5550","5550","0","0","0","5550","5550","5550","0","0","0","5550","5550","5550","0","0","0","5550","5550","5550","0","0","0","5550","5550","5550","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"112000","5575","5575","5575","0","0","0","5575","5575","5575","0","0","0","5575","5575","5575","0","0","0","5575","5575","5575","0","0","0","5575","5575","5575","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"112500","5600","5600","5600","0","0","0","5600","5600","5600","0","0","0","5600","5600","5600","0","0","0","5600","5600","5600","0","0","0","5600","5600","5600","0","0","0","1850","1850","1850","0","0","0","1850","1850","1850","0","0","0","1850","1850","1850","0","0","0","1850","1850","1850","0","0","0","1850","1850","1850","0","0","0"
"113000","5625","5625","5625","0","0","0","5625","5625","5625","0","0","0","5625","5625","5625","0","0","0","5625","5625","5625","0","0","0","5625","5625","5625","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"113500","5650","5650","5650","0","0","0","5650","5650","5650","0","0","0","5650","5650","5650","0","0","0","5650","5650","5650","0","0","0","5650","5650","5650","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114000","5675","5675","5675","0","0","0","5675","5675","5675","0","0","0","5675","5675","5675","0","0","0","5675","5675","5675","0","0","0","5675","5675","5675","0","0","0","1875","1875","1875","0","0","0","1875","1875","1875","0","0","0","1875","1875","1875","0","0","0","1875","1875","1875","0","0","0","1875","1875","1875","0","0","0"
"114500","5700","5700","5700","0","0","0","5700","5700","5700","0","0","0","5700","5700","5700","0","0","0","5700","5700","5700","0","0","0","5700","5700","5700","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"115000","5725","5725","5725","0","0","0","5725","5725","5725","0","0","0","5725","5725","5725","0","0","0","5725","5725","5725","0","0","0","5725","5725","5725","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"115500","5750","5750","5750","0","0","0","5750","5750","5750","0","0","0","5750","5750","5750","0","0","0","5750","5750","5750","0","0","0","5750","5750","5750","0","0","0","1900","1900","1900","0","0","0","1900","1900","1900","0","0","0","1900","1900","1900","0","0","0","1900","1900","1900","0","0","0","1900","1900","1900","0","0","0"
"116000","5775","5775","5775","0","0","0","5775","5775","5775","0","0","0","5775","5775","5775","0","0","0","5775","5775","5775","0","0","0","5775","5775","5775","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116500","5800","5800","5800","0","0","0","5800","5800","5800","0","0","0","5800","5800","5800","0","0","0","5800","5800","5800","0","0","0","5800","5800","5800","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117000","5825","5825","5825","0","0","0","5825","5825","5825","0","0","0","5825","5825","5825","0","0","0","5825","5825","5825","0","0","0","5825","5825","5825","0","0","0","1925","1925","1925","0","0","0","1925","1925","1925","0","0","0","1925","1925","1925","0","0","0","1925","1925","1925","0","0","0","1925","1925","1925","0","0","0"
"117500","5850","5850","5850","0","0","0","5850","5850","5850","0","0","0","5850","5850","5850","0","0","0","5850","5850","5850","0","0","0","5850","5850","5850","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118000","5875","5875","5875","0","0","0","5875","5875","5875","0","0","0","5875","5875","5875","0","0","0","5875","5875","5875","0","0","0","5875","5875","5875","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118500","5900","5900","5900","0","0","0","5900","5900","5900","0","0","0","5900","5900","5900","0","0","0","5900","5900","5900","0","0","0","5900","5900","5900","0","0","0","1950","1950","1950","0","0","0","1950","1950","1950","0","0","0","1950","1950","1950","0","0","0","1950","1950","1950","0","0","0","1950","1950","1950","0","0","0"
"119000","5925","5925","5925","0","0","0","5925","5925","5925","0","0","0","5925","5925","5925","0","0","0","5925","5925","5925","0","0","0","5925","5925","5925","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"119500","5950","5950","5950","0","0","0","5950","5950","5950","0","0","0","5950","5950","5950","0","0","0","5950","5950","5950","0","0","0","5950","5950","5950","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120000","5975","5975","5975","0","0","0","5975","5975","5975","0","0","0","5975","5975","5975","0","0","0","5975","5975","5975","0","0","0","5975","5975","5975","0","0","0","1975","1975","1975","0","0","0","1975","1975","1975","0","0","0","1975","1975","1975","0","0","0","1975","1975","1975","0","0","0","1975","1975","1975","0","0","0"
"120500","6000","6000","6000","0","0","0","6000","6000","6000","0","0","0","6000","6000","6000","0","0","0","6000","6000","6000","0","0","0","6000","6000","6000","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"121000","6025","6025","6025","0","0","0","6025","6025","6025","0","0","0","6025","6025","6025","0","0","0","6025","6025","6025","0","0","0","6025","6025","6025","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"121500","6050","6050","6050","0","0","0","6050","6050","6050","0","0","0","6050","6050","6050","0","0","0","6050","6050","6050","0","0","0","6050","6050","6050","0","0","0","2000","2000","2000","0","0","0","2000","2000","2000","0","0","0","2000","2000","2000","0","0","0","2000","2000","2000","0","0","0","2000","2000","2000","0","0","0"
"122000","6075","6075","6075","0.08","0.08","0.08","6075","6075","6075","0","0","0","6075","6075","6075","0","0","0","6075","6075","6075","0.04","0.04","0.04","6075","6075","6075","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122500","6100","6100","6100","0.08","0.08","0.08","6100","6100","6100","0","0","0","6100","6100","6100","0","0","0","6100","6100","6100","0.04","0.04","0.04","6100","6100","6100","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"123000","6125","6125","6125","0.08","0.08","0.08","6125","6125","6125","0","0","0","6125","6125","6125","0","0","0","6125","6125","6125","0.04","0.04","0.04","6125","6125","6125","0","0","0","2025","2025","2025","0","0","0","2025","2025","2025","0","0","0","2025","2025","2025","0","0","0","2025","2025","2025","0.16","0.16","0.16","2025","2025","2025","0","0","0"
"123500","6150","6150","6150","0","0","0","6150","6150","6150","0","0","0","6150","6150","6150","0","0","0","6150","6150","6150","0","0","0","6150","6150","6150","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124000","6175","6175","6175","0","0","0","6175","6175","6175","0","0","0","6175","6175","6175","0","0","0","6175","6175","6175","0","0","0","6175","6175","6175","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124500","6200","6200","6200","0","0","0","6200","6200","6200","0","0","0","6200","6200","6200","0","0","0","6200","6200","6200","0","0","0","6200","6200","6200","0","0","0","2050","2050","2050","0","0","0","2050","2050","2050","0","0","0","2050","2050","2050","0","0","0","2050","2050","2050","0","0","0","2050","2050","2050","0.04","0.04","0.04"
"125000","6225","6225","6225","0","0","0","6225","6225","6225","0","0","0","6225","6225","6225","0","0","0","6225","6225","6225","0","0","0","6225","6225","6225","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"125500","6250","6250","6250","0","0","0","6250","6250","6250","0","0","0","6250","6250","6250","0","0","0","6250","6250","6250","0","0","0","6250","6250","6250","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126000","6275","6275","6275","0","0","0","6275","6275","6275","0","0","0","6275","6275","6275","0","0","0","6275","6275","6275","0","0","0","6275","6275","6275","0","0","0","2075","2075","2075","0","0","0","2075","2075","2075","0","0","0","2075","2075","2075","0","0","0","2075","2075","2075","0","0","0","2075","2075","2075","0","0","0"
"126500","6300","6300","6300","0","0","0","6300","6300","6300","0","0","0","6300","6300","6300","0","0","0","6300","6300","6300","0","0","0","6300","6300","6300","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127000","6325","6325","6325","0","0","0","6325","6325","6325","0","0","0","6325","6325","6325","0","0","0","6325","6325","6325","0","0","0","6325","6325","6325","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127500","6350","6350","6350","0","0","0","6350","6350","6350","0","0","0","6350","6350","6350","0","0","0","6350","6350","6350","0","0","0","6350","6350","6350","0.04","0.04","0.04","2100","2100","2100","0","0","0","2100","2100","2100","0","0","0","2100","2100","2100","0","0","0","2100","2100","2100","0","0","0","2100","2100","2100","0","0","0"
"128000","6375","6375","6375","0","0","0","6375","6375","6375","0","0","0","6375","6375","6375","0","0","0","6375","6375","6375","0","0","0","6375","6375","6375","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128500","6400","6400","6400","0","0","0","6400","6400","6400","0","0","0","6400","6400","6400","0","0","0","6400","6400","6400","0","0","0","6400","6400","6400","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"129000","6425","6425","6425","0","0","0","6425","6425","6425","0","0","0","6425","6425","6425","0","0","0","6425","6425","6425","0","0","0","6425","6425","6425","0","0","0","2125","2125","2125","0","0","0","2125","2125","2125","0","0","0","2125","2125","2125","0","0","0","2125","2125","2125","0","0","0","2125","2125","2125","0","0","0"
"129500","6450","6450","6450","0.04","0.04","0.04","6450","6450","6450","0","0","0","6450","6450","6450","0","0","0","6450","6450","6450","0","0","0","6450","6450","6450","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130000","6475","6475","6475","0.04","0.04","0.04","6475","6475","6475","0","0","0","6475","6475","6475","0","0","0","6475","6475","6475","0","0","0","6475","6475","6475","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130500","6500","6500","6500","0.04","0.04","0.04","6500","6500","6500","0","0","0","6500","6500","6500","0","0","0","6500","6500","6500","0.04","0.04","0.04","6500","6500","6500","0","0","0","2150","2150","2150","0.04","0.04","0.04","2150","2150","2150","0","0","0","2150","2150","2150","0","0","0","2150","2150","2150","0","0","0","2150","2150","2150","0","0","0"
"131000","6525","6525","6525","0","0","0","6525","6525","6525","0","0","0","6525","6525","6525","0","0","0","6525","6525","6525","0.04","0.04","0.04","6525","6525","6525","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131500","6550","6550","6550","0","0","0","6550","6550","6550","0","0","0","6550","6550","6550","0","0","0","6550","6550","6550","0","0","0","6550","6550","6550","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132000","6575","6575","6575","0","0","0","6575","6575","6575","0","0","0","6575","6575","6575","0","0","0","6575","6575","6575","0","0","0","6575","6575","6575","0","0","0","2175","2175","2175","0","0","0","2175","2175","2175","0","0","0","2175","2175","2175","0","0","0","2175","2175","2175","0.04","0.04","0.04","2175","2175","2175","0.04","0.04","0.04"
"132500","6600","6600","6600","0","0","0","6600","6600","6600","0","0","0","6600","6600","6600","0","0","0","6600","6600","6600","0","0","0","6600","6600","6600","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133000","6625","6625","6625","0","0","0","6625","6625","6625","0","0","0","6625","6625","6625","0","0","0","6625","6625","6625","0","0","0","6625","6625","6625","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133500","6650","6650","6650","0","0","0","6650","6650","6650","0","0","0","6650","6650","6650","0","0","0","6650","6650","6650","0","0","0","6650","6650","6650","0","0","0","2200","2200","2200","0","0","0","2200","2200","2200","0","0","0","2200","2200","2200","0","0","0","2200","2200","2200","0","0","0","2200","2200","2200","0","0","0"
"134000","6675","6675","6675","0","0","0","6675","6675","6675","0.08","0.08","0.08","6675","6675","6675","0","0","0","6675","6675","6675","0","0","0","6675","6675","6675","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134500","6700","6700","6700","0","0","0","6700","6700","6700","0.08","0.08","0.08","6700","6700","6700","0","0","0","6700","6700","6700","0","0","0","6700","6700","6700","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135000","6725","6725","6725","0","0","0","6725","6725","6725","0.08","0.08","0.08","6725","6725","6725","0","0","0","6725","6725","6725","0","0","0","6725","6725","6725","0","0","0","2225","2225","2225","0","0","0","2225","2225","2225","0","0","0","2225","2225","2225","0","0","0","2225","2225","2225","0","0","0","2225","2225","2225","0","0","0"
"135500","6750","6750","6750","0","0","0","6750","6750","6750","0","0","0","6750","6750","6750","0","0","0","6750","6750","6750","0","0","0","6750","6750","6750","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136000","6775","6775","6775","0","0","0","6775","6775","6775","0","0","0","6775","6775","6775","0","0","0","6775","6775","6775","0","0","0","6775","6775","6775","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136500","6800","6800","6800","0","0","0","6800","6800","6800","0","0","0","6800","6800","6800","0","0","0","6800","6800","6800","0","0","0","6800","6800","6800","0","0","0","2250","2250","2250","0.08","0.08","0.08","2250","2250","2250","0","0","0","2250","2250","2250","0","0","0","2250","2250","2250","0","0","0","2250","2250","2250","0","0","0"
"137000","6825","6825","6825","0","0","0","6825","6825","6825","0","0","0","6825","6825","6825","0","0","0","6825","6825","6825","0","0","0","6825","6825","6825","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137500","6850","6850","6850","0","0","0","6850","6850","6850","0","0","0","6850","6850","6850","0","0","0","6850","6850","6850","0","0","0","6850","6850","6850","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"138000","6875","6875","6875","0","0","0","6875","6875","6875","0","0","0","6875","6875","6875","0","0","0","6875","6875","6875","0","0","0","6875","6875","6875","0","0","0","2275","2275","2275","0","0","0","2275","2275","2275","0","0","0","2275","2275","2275","0","0","0","2275","2275","2275","0.04","0.04","0.04","2275","2275","2275","0","0","0"
"138500","6900","6900","6900","0","0","0","6900","6900","6900","0","0","0","6900","6900","6900","0","0","0","6900","6900","6900","0","0","0","6900","6900","6900","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139000","6925","6925","6925","0","0","0","6925","6925","6925","0","0","0","6925","6925","6925","0","0","0","6925","6925","6925","0","0","0","6925","6925","6925","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139500","6950","6950","6950","0","0","0","6950","6950","6950","0","0","0","6950","6950","6950","0","0","0","6950","6950","6950","0","0","0","6950","6950","6950","0","0","0","2300","2300","2300","0","0","0","2300","2300","2300","0","0","0","2300","2300","2300","0","0","0","2300","2300","2300","0","0","0","2300","2300","2300","0","0","0"
"140000","6975","6975","6975","0","0","0","6975","6975","6975","0","0","0","6975","6975","6975","0","0","0","6975","6975","6975","0","0","0","6975","6975","6975","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140500","7000","7000","7000","0","0","0","7000","7000","7000","0","0","0","7000","7000","7000","0","0","0","7000","7000","7000","0","0","0","7000","7000","7000","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
